workerid,proliferate.condition,order,paraphrase,rating,response,slide_number_in_experiment,tgrep_id,catch_trials,subject_information.age,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
42,condition1,,,,"['Susan', 'Susan']",1,bot_check,[],,aesdfgsdfg,-1,-1,1,,,Firefox,Mac,900,1600,3.491816666666667,
42,condition1,a-all-the,a,0.43,,4,example1,[],,aesdfgsdfg,-1,-1,1,,,Firefox,Mac,900,1600,3.491816666666667,
42,condition1,a-all-the,all,0.15,,4,example1,[],,aesdfgsdfg,-1,-1,1,,,Firefox,Mac,900,1600,3.491816666666667,
42,condition1,a-all-the,the,0.35,,4,example1,[],,aesdfgsdfg,-1,-1,1,,,Firefox,Mac,900,1600,3.491816666666667,
42,condition1,a-all-the,other,0.07000000000000006,,4,example1,[],,aesdfgsdfg,-1,-1,1,,,Firefox,Mac,900,1600,3.491816666666667,
42,condition1,a-all-the,a,0.2,,5,example2,[],,aesdfgsdfg,-1,-1,1,,,Firefox,Mac,900,1600,3.491816666666667,
42,condition1,a-all-the,all,0.42,,5,example2,[],,aesdfgsdfg,-1,-1,1,,,Firefox,Mac,900,1600,3.491816666666667,
42,condition1,a-all-the,the,0.3,,5,example2,[],,aesdfgsdfg,-1,-1,1,,,Firefox,Mac,900,1600,3.491816666666667,
42,condition1,a-all-the,other,0.07999999999999996,,5,example2,[],,aesdfgsdfg,-1,-1,1,,,Firefox,Mac,900,1600,3.491816666666667,
42,condition1,a-all-the,a,0.2,,6,example3,[],,aesdfgsdfg,-1,-1,1,,,Firefox,Mac,900,1600,3.491816666666667,
42,condition1,a-all-the,all,0.7,,6,example3,[],,aesdfgsdfg,-1,-1,1,,,Firefox,Mac,900,1600,3.491816666666667,
42,condition1,a-all-the,the,0.10000000000000007,,6,example3,[],,aesdfgsdfg,-1,-1,1,,,Firefox,Mac,900,1600,3.491816666666667,
