workerid,proliferate.condition,order,paraphrase,rating,response,slide_number_in_experiment,tgrep_id,catch_trials,subject_information.age,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
1751,experiment_22,,,,"['Patricia', 'Patricia']",1,bot_check,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,a,0,,4,example1,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,the,0.2500000000000001,,4,example1,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,all,0.75,,4,example1,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,other,0,,4,example1,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,a,0.74,,5,example2,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,the,0.2599999999999999,,5,example2,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,all,1.1102230246251563e-16,,5,example2,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,other,0,,5,example2,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,a,0,,6,example3,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,the,0.33999999999999986,,6,example3,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,all,0.66,,6,example3,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,other,0,,6,example3,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,a,0.6,,7,example4,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,the,0.3999999999999999,,7,example4,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,all,1.1102230246251563e-16,,7,example4,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,other,0,,7,example4,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,a,0.72,,9,16019:24,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,the,0.28,,9,16019:24,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,all,0,,9,16019:24,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,other,0,,9,16019:24,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,a,0,,10,94825:83,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,the,0.20000000000000007,,10,94825:83,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,all,0.8,,10,94825:83,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,other,0,,10,94825:83,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,a,0.6,,11,171174:43,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,the,0.4,,11,171174:43,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,all,0,,11,171174:43,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,other,0,,11,171174:43,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,a,0.68,,12,13656:19,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,the,0.31999999999999995,,12,13656:19,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,all,1.1102230246251563e-16,,12,13656:19,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
1751,experiment_22,a-the-all,other,0,,12,13656:19,[],,,-1,-1,-1,Female,,Firefox,Mac,1120,1792,3.4837833333333332,
