"","Item_ID","Sentence","HaveNeedTo","Finite","ModalPresent","QuestionType","DegreeQ","SubjectAuxInv","WhAll","MatrixNegPresent","EmbeddedNegPresent","QuantifiedSubject","QuantifiedPredicate","Wh","MatrixNegation","MatrixDoSupport","MatrixPred1","MatrixPred2","MatVerbPart","Modal","EmbeddedNegation","Verb1","Verb2","Verb3","DeterminerSubject","DeterminerNonSubject","FullWhPhrase","DeterminerSubjPresent","DeterminerNonSubjPresent","WhNode","WhParse","Question","SentenceParse","WhPhaseType","IdentityQ"
"1","630:19","i'm not sure exactly where dances with wolves was filmed *-1 *t*-2.","no","yes","no","embadjunct","no","","","yes","","","","where","not","","'m","","","","","dances","was","filmed","","","","","no",NA,"(WRB where)","exactly where dances with wolves was filmed *-1 *t*-2","(TOP (S (NP-SBJ (PRP I)) (VP (VBP 'm) (RB not) (ADJP-PRD (JJ sure)) (SBAR-LOC (ADVP (RB exactly)) (WHADVP-2 (WRB where)) (S (VP-TTL-SBJ-1 (VB DANCES) (PP (IN WITH) (NP (NNS WOLVES)))) (VP (VBD was) (VP (VBN filmed) (NP (-NONE- *-1)) (ADVP-LOC (-NONE- *T*-2))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"2","928:47","so there's,, things that *t*-1 invade that second type of privacy where you do know about them *t*-2 and possibly things that *t*-3 invade that second type of privacy without you knowing about it,","no","yes","no","relative","no","","","","","","","where","","","","","","","","do","know","","","","where","no","no",NA,"(WRB where)","where you do know about them *t*-2","(TOP (S (RB So) (NP-SBJ (EX there)) (VP (BES 's) (, ,) (, ,) (NP-PRD (NP (NP (NNS things)) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBP invade) (NP (NP (DT that) (JJ second) (NN type)) (PP (IN of) (NP (NN privacy))))))) (SBAR (WHADVP-2 (WRB where)) (S (NP-SBJ (PRP you)) (VP (VBP do) (VP (VB know) (PP (IN about) (NP (PRP them))) (ADVP (-NONE- *T*-2))))))) (CC and) (ADVP (RB possibly)) (NP (NP (NNS things)) (SBAR (WHNP-3 (WDT that)) (S (NP-SBJ (-NONE- *T*-3)) (VP (VBP invade) (NP (NP (DT that) (JJ second) (NN type)) (PP (IN of) (NP (NN privacy)))) (PP (IN without) (S-NOM (NP-SBJ (PRP you)) (VP (VBG knowing) (PP (IN about) (NP (PRP it)))))))))))) (, ,) (-DFL- E_S)))","monomorphemic","no"
"3","1601:9","or, what i've done *t*-1 is * found like doctors' and dentists' office with extended hours.","no","yes","no","adjunct","no","","","","","","done","what","","","","","","","","'ve","done","","","","","no","no",NA,"(WP what)","what i've done *t*-1","(TOP (S (CC or) (, ,) (SBAR-NOM-SBJ (WHNP-1 (WP what)) (S (NP-SBJ (PRP I)) (VP (VBP 've) (VP (VBN done) (NP (-NONE- *T*-1)))))) (VP (VBZ is) (S-PRD (NP-SBJ (-NONE- *)) (VP (VBN found) (INTJ (UH like)) (NP (NP (NP (NP (NNS doctors) (POS ')) (CC and) (NP (NNS dentists) (POS '))) (NN office)) (PP (IN with) (NP (JJ extended) (NNS hours))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"4","1773:39","and, uh, she thinks 0 it *exp*-3's pretty funny how often i know all of the words to songs that she's listening to *t*-1 *t*-2,","no","yes","no","embedded","yes","","","","","","all","how","","","'s","","","","","know","'s","listening","","all of the words to songs that she's listening to *t*-1","","no","no",NA,"(WRB how)","how often i know all of the words to songs that she's listening to *t*-1 *t*-2","(TOP (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP-SBJ (PRP she)) (VP (VBZ thinks) (SBAR (-NONE- 0) (S (NP-SBJ (NP (PRP it)) (SBAR (-NONE- *EXP*-3))) (VP (BES 's) (ADJP-PRD (RB pretty) (JJ funny)) (SBAR-3 (WHADVP-2 (WRB how) (RB often)) (S (NP-SBJ (PRP I)) (VP (VBP know) (NP (NP (DT all)) (PP (IN of) (NP (NP (DT the) (NNS words)) (PP (IN to) (NP (NP (NNS songs)) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (PRP she)) (VP (BES 's) (VP (VBG listening) (PP (IN to) (NP (-NONE- *T*-1)))))))))))) (ADVP-TMP (-NONE- *T*-2))))))))) (, ,) (-DFL- E_S)))","monomorphemic",""
"5","2086:82","uh, we've, we've, uh, taken how much we have *t*-2, you know, write down how much we have *t*-1 coming in each month","no","yes","no","embedded","yes","","","","","","","how","","down","write","","","","","have","coming","in","","each month","","no","no",NA,"(WRB how)","how much we have *t*-1 coming in each month","(TOP (S (INTJ (UH Uh)) (, ,) (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP we)) (VP-UNF (VBP 've))) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP we)) (VP (VP (VBP 've) (, ,) (RS (-DFL- \])) (INTJ (UH uh)) (, ,) (VP (VBN taken) (SBAR-NOM (WHNP-2 (WHADJP (WRB how) (JJ much))) (S (NP-SBJ (PRP we)) (VP (VBP have) (NP (-NONE- *T*-2))))))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (VP (VBP write) (PRT (RP down)) (SBAR-NOM (WHNP-1 (WHADJP (WRB how) (RB much))) (S (NP-SBJ (PRP we)) (VP (VBP have) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBG coming) (PRT (RB in)) (NP-TMP (DT each) (NN month))))))))) (-DFL- E_S)))","monomorphemic","no"
"6","2215:178","that, that's the other financial thing 0 i guess that we've done *t*-1 is with our life insurance is, since i'm at home now is, is * figuring out, uh, what we would need *t*-2 if something happened to my husband, or what he would need *t*-3 if something happened to me,","no","","yes","subject","no","","","","","something","something","what","","","figuring","","","would","","need","happened","","","","","no","no",NA,"(WP what)","what he would need *t*-3 if something happened to me","(TOP (S (S-SBJ (EDITED (RM (-DFL- \[)) (NP-SBJ (DT that)) (, ,) (IP (-DFL- \+))) (NP-SBJ (DT that)) (VP (BES 's) (RS (-DFL- \])) (NP-PRD (NP (DT the) (JJ other) (JJ financial) (NN thing)) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ (PRP I)) (VP (VBP guess) (SBAR (IN that) (S (NP-SBJ (PRP we)) (VP (VBP 've) (VP (VBN done) (NP (-NONE- *T*-1)) (EDITED (VP-UNF (VBZ is))) (PP (IN with) (NP (PRP$ our) (NN life) (NN insurance))) (EDITED (VP-UNF (VBZ is)) (, ,)) (SBAR-PRP (IN since) (S (NP-SBJ (PRP I)) (VP (VBP 'm) (PP-LOC-PRD (IN at) (NP (NN home))) (ADVP-TMP (RB now))))))))))))))) (EDITED (RM (-DFL- \[)) (VP-UNF (VBZ is)) (, ,) (IP (-DFL- \+))) (VP (VBZ is) (RS (-DFL- \])) (S-PRD (NP-SBJ (-NONE- *)) (VP (VBG figuring) (PRT (RP out)) (, ,) (INTJ (UH uh)) (, ,) (SBAR (SBAR (WHNP-2 (WP what)) (S (NP-SBJ (PRP we)) (VP (MD would) (VP (VB need) (NP (-NONE- *T*-2)) (SBAR-ADV (IN if) (S (NP-SBJ (NN something)) (VP (VBD happened) (PP (IN to) (NP (PRP$ my) (NN husband)))))))))) (, ,) (CC or) (SBAR (WHNP-3 (WP what)) (S (NP-SBJ (PRP he)) (VP (MD would) (VP (VB need) (NP (-NONE- *T*-3)) (SBAR-ADV (IN if) (S (NP-SBJ (NN something)) (VP (VBD happened) (PP (IN to) (NP (PRP me)))))))))))))) (, ,) (-DFL- E_S)))","monomorphemic","no"
"7","2392:92","well i guess 0 i also have been reading, uh, a lot of things on, uh, quality improvement and that type of thing because that's what i'm involved in *t*-1 a lot at work.","no","yes","no","embedded","no","","","","","","","what","","","'s","","","","","'m","involved","","","a lot","","no","no",NA,"(WP what)","what i'm involved in *t*-1 a lot at work","(TOP (S (INTJ (UH Well)) (NP-SBJ (PRP I)) (VP (VBP guess) (SBAR (-NONE- 0) (S (NP-SBJ (PRP I)) (ADVP (RB also)) (VP (VBP have) (VP (VBN been) (VP (VBG reading) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS things))) (PP (IN on) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (NN quality) (NN improvement)) (CC and) (NP (NP (DT that) (NN type)) (PP (IN of) (NP (NN thing))))))) (SBAR-PRP (IN because) (S (NP-SBJ (DT that)) (VP (BES 's) (SBAR-NOM-PRD (WHNP-1 (WP what)) (S (NP-SBJ (PRP I)) (VP (VBP 'm) (ADJP-PRD (VBN involved) (PP (IN in) (NP (-NONE- *T*-1)))) (NP-ADV (DT a) (NN lot)) (PP-LOC (IN at) (NP (NN work))))))))))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"8","4195:28","so, you know, it depends on how you look at it *t*-1.","no","yes","no","embedded","no","","","","","","","how","","","","","depends","","","look","","","","","how","no","no",NA,"(WRB how)","how you look at it *t*-1","(TOP (S (RB So) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (NP-SBJ (PRP it)) (VP (VBZ depends) (PP (IN on) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (PRP you)) (VP (VBP look) (PP (IN at) (NP (PRP it))) (ADVP-MNR (-NONE- *T*-1))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"9","4216:76","but, uh, as, as far as that goes, i, we at least agree on what we enjoy *t*-1.","no","yes","no","embedded","no","","","","","","","what","","","","","agree","","","enjoy","","","","","what","no","no",NA,"(WP what)","what we enjoy *t*-1","(TOP (S (CC But) (, ,) (INTJ (UH uh)) (, ,) (EDITED (RM (-DFL- \[)) (ADVP-UNF (RB as)) (, ,) (IP (-DFL- \+))) (ADVP (ADVP (RB as) (RS (-DFL- \])) (RB far)) (SBAR (IN as) (S (NP-SBJ (DT that)) (VP (VBZ goes))))) (, ,) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP we)) (RS (-DFL- \])) (ADVP (IN at) (JJS least)) (VP (VBP agree) (PP (IN on) (SBAR-NOM (WHNP-1 (WP what)) (S (NP-SBJ (PRP we)) (VP (VBP enjoy) (NP (-NONE- *T*-1))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"10","8060:71","and i said, okay, i want *-1 to see a curriculum guide, you know, so i'll know what i'm suppose *-2 to teach *t*-3","no","yes","no","embedded","no","","","","","","","what","","","know","","","","","'m","suppose","teach","","","","no","no",NA,"(WP what)","what i'm suppose *-2 to teach *t*-3","(TOP (S (CC and) (NP-SBJ (PRP I)) (VP (VBD said) (, ,) (S-SEZ (INTJ (UH okay)) (, ,) (NP-SBJ-1 (PRP I)) (VP (VBP want) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB see) (NP (DT a) (NN curriculum) (NN guide)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (-DFL- E_S) (SBAR-PRP (RB so) (S (NP-SBJ (PRP I)) (VP (MD 'll) (VP (VB know) (SBAR (WHNP-3 (WP what)) (S (NP-SBJ-2 (PRP I)) (VP (VBP 'm) (VP (TYPO (VBN suppose)) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB teach) (NP (-NONE- *T*-3))))))))))))))))))) (-DFL- E_S)))","monomorphemic","no"
"11","9464:103","i know 0 i, i tend * to, i tend *-1 to be able *-2 to get along with monotony in the weather when it's very temperate *t*-3.","no","yes","no","embadjunct","no","","","yes","","","","when","monotony","","get","","","","","'s","very","temperate","","","when","no","no",NA,"(WRB when)","when it's very temperate *t*-3","(TOP (S (NP-SBJ (PRP I)) (VP (VBP know) (SBAR (-NONE- 0) (S (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (S (NP-SBJ (PRP I)) (VP (VBP tend) (S (NP-SBJ (-NONE- *)) (VP-UNF (TO to))))) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (NP-SBJ-1 (PRP I)) (VP (VB tend) (S (NP-SBJ-2 (-NONE- *-1)) (VP (TO to) (RS (-DFL- \])) (VP (VB be) (ADJP-PRD (JJ able) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB get) (ADVP (RB along)) (PP (IN with) (NP (NP (NN monotony)) (PP (IN in) (NP (DT the) (NN weather))))) (SBAR-TMP (WHADVP-3 (WRB when)) (S (NP-SBJ (PRP it)) (VP (BES 's) (ADJP-PRD (RB very) (JJ temperate)) (ADVP-TMP (-NONE- *T*-3)))))))))))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"12","9726:25","but the imagination of, * look what we can do *t*-1","no","","yes","embedded","no","","","","","","","what","","","look","","","can","","do","","","","","what","no","no",NA,"(WP what)","what we can do *t*-1","(TOP (FRAG (CC but) (NP (NP (DT the) (NN imagination)) (PP (IN of) (, ,) (S-IMP-SEZ (NP-SBJ (-NONE- *)) (VP (VB look) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP we)) (VP (MD can) (VP (VB do) (NP (-NONE- *T*-1))))))))))))","monomorphemic","no"
"13","9925:60","they've got a lot of adjustments 0 * to make *t*-1 with *-3 coming out of what they've been through *t*-2 now,","no","yes","no","embedded","no","","","","","","","what","","","","","coming","","","'ve","been","now","","","what","no","no",NA,"(WP what)","what they've been through *t*-2 now","(TOP (S (NP-SBJ (PRP they)) (VP (VBP 've) (VP (VBN got) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS adjustments)) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ-3 (-NONE- *)) (VP (TO to) (VP (VB make) (NP (-NONE- *T*-1)) (PP (IN with) (S-NOM (NP-SBJ (-NONE- *-3)) (VP (VBG coming) (PRT (RP out)) (PP (IN of) (SBAR-NOM (WHNP-2 (WP what)) (S (NP-SBJ (PRP they)) (VP (VBP 've) (VP (VBN been) (PP-PRD (IN through) (NP (-NONE- *T*-2))) (ADVP-TMP (RB now))))))))))))))))))) (, ,) (-DFL- E_S)))","monomorphemic","no"
