TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	AResponse	AllResponse	TheResponse
13191:16	when, when would people do it *t*-1,	###and i think 0 they've gotten a lot out of it.###speakera5.###well, are you doing any kind of volunteer work now?###speakerb6.###not right now,###but i have done, uh, red clo-, cross work###and, uh, i've taught c p r training###a-,###speakera7.###what about,	when	yes	What is a time...?	What is every time...?	What is the time...?
175133:4	what do you think 0 *t*-1's wrong * to cause that?	###e-,###my husband and i go to the store###and we buy these math books and fractions and multiplication, division things###and i feel like, uh, there are several areas that we're just really, really slow in *t*-1.###speakera37.###uh-huh.###speakerb38.###and, uh, i don't blame the teachers as much as i blame the system.###it is,###speakera39.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
66877:9	now, why couldn't your wife run around the golf course *t*-1?	###it was burnt *-1 out about two years ago### and, and the guy moved in and completely redid### it's got, oh, it's got a rounded front on it.###it's all brick,###and he's, he's landscaped his yard###and he's about ready *-1 to put in a pool and things like that.###so, yeah,###there's a variety,###you just don't see it anywhere else, as far as the different styles in the houses and whatnot.###speakera103.	why	yes	What is a reason...?	What is every reason...?	What is the reason...?
12022:9	uh, when was the last time 0 you saw a truck that *t*-1 didn't belch, smoke, or, uh,	###i mean, i remember *-1 reading an article that *t*-2 said like, 0 it's, uh, the older polluters,### the, the twelve and fifteen year old cars, you know, contribute like ninety percent, of the automobile pollution###speakera83.###yeah,###speakerb84.###and the new cars it's hardly is, hardly anything.###speakera85.###yeah,###they're better,###but how about all the trucks and buses that *t*-1 are out there.	when	no	What is a time...?	What is every time...?	What is the time...?
122764:4	what did we do *t*-1 without it back then?	###uh-huh,###yeah,###i've h-, seen him before.###speakera29.###speakerb30.###speakera31.### wh-, i-, what would we do *t*-1 without it?.###speakerb32.###yeah.### yo-, we were talking about that just the other day.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
44357:6	or why do they not, you know, stand up, * so to speak, for their rights *t*-1?	###they tend *-1 to be more,###like not stand up for their rights as much.###they're not really sure of what they are *t*-1. i don't think 0 *t*-2.###speakerb102.###uh, i never really thought of, it that way.###speakera103.###well, i mean, how, can you contrast the europeans and their vocalism on their rights to, to say the people in latin america *t*-1.###speakerb104.###speakera105.###i mean, why are they, why are they not as vocal *t*-1	why	no	What is a reason...?	What is every reason...?	What is the reason...?
37924:6	and what's it going *-1 to be like *t*-2 in another twelve years when my, uh, oldest son is in high school *t*-3.	###and that was,###well i was, i graduated high school in nineteen seventy-nine,###so. that was what, twelve years ago, i guess 0 *t*-1.###speakerb68.###okay.###speakera69.###speakerb70.###right.###speakera71.###so, you know, it's lot different now.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
120876:4	what did you grow *t*-1?	###speakera97.###uh-huh.###speakerb98.###and, uh, our, our garages come in from the back, you know, from the alley###speakera99.###so do *t*-1 ours,###yeah.###speakerb100.###and, uh, it's, it's a little piece of land over there.###speakera101.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
141568:12	oh, well what do you do *t*-1 with your seventh grader?	###he is a wildlife biologist,###uh, and our girl is thirteen.###she is in the seventh grade.###so, we have got, still, all sorts of good activities since,###speakerb27.###oh yeah.###you kind of got, uh, a span there,###huh?###speakera28.###speakerb29.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
71743:9	well, what are you studying *t*-1?	###speakerb118.###but, uh, those classes i, i enjoy *t*-1.###uh, i think, uh, 0 with the aerobic classes you have *-1 to get an instructor that *t*-2's fun.###if you don't have one that *t*-1's fun, and not enjoy it, look, not acting like she's enjoying what she's doing *t*-2, the class is not going *-4 to get out, uh, what they should get *t*-3 out of the class.###speakera119.###yeah.###speakerb120.###uh, if the,###speakera121.###so, are you going *-1 to get into instructing?	what	no	What is a thing...?	What is every thing...?	What is the thing...?
control_a_tissue	Do you want a tissue?	speakera. Your nose is running. speakerb. Oh yeah I didn't notice. speakera. 			A tissue…?	Every tissue…?	The tissue…?
control_a_napkin	Can I hand you a napkin?	speakera. Oh no! I just spilled my spaghetti down my shirt. speakerb. Oh no.			A napkin…?	Every napkin…?	The napkin...?
control_the_book	Did you return the book you borrowed?	speakera. Hey. speakerb. Hey what's up? speakera. I noticed a late fee from the library. 			A book...?	Every book…?	The book...?
control_the_movie	Can you text me the movie schedule?	speakera. What are you doing tonight? speakerb. Nothing what about you? Wanna grab a movie? speakerb. Sure but I don't have wifi right now. 			A movie schedule...?	Every movie schedule…?	The movie schedule...?
control_all_cookies	Did you grab all the cookies?	speakera. It's time to leave for the potluck.The car's almost packed. speakerb. 			A cookie...?	Every cookie…?	The cookie...?
control_all_novels	Have you read all her novels?	speakera. I love Octavia Butler she's the best. speakerb. Yeah she's great. speakera.			An novel...?	Every novel…?	The novel...?
