TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	AResponse	AllResponse	TheResponse
76373:38	how can you, how can you expect *-1 to,	###and it's,###and you know, as a teacher you're alert, you're alert for the kid who *t*-1's very drowsy.###you're alert to the kid who *t*-1 suddenly has a, um, behavioral change,###and you refer them to the nurse.###speakerb88.###right.###speakera89.###and, so, i mean, you have *-1 to find out whether there's a legitimate reason, or whether this is a warning signal.###speakerb90.###yeah, can you,	how	yes	What is a way...?	What is every way...?	What is the way...?
14662:15	why has crime increased *t*-1?	### what do, what do, what do you think 0 we can do *t*-1 * to solve the crime in america?###speakerb28.###oh, if i knew that i'd be a very wealthy person.###speakera29.###yeah,###but what, what, what are the steps *t*-1?###speakerb30.###well, you have *-1 to see,### i, the way 0 i look at it *t*-1, you have *-2 to think first of all why,###or ha-, has crime increased, and if so,	why	no	What is a reason...?	What is every reason...?	What is the reason...?
41547:4	what do you usually wear *t*-1 to work?.	###maybe what you could do *t*-1 if you couldn't get into a full family reunion, and you wanted *-2 to go back some,###speakerb266.###uh-huh.###speakera267.###but then usually when you find out some information from like your parents *t*-1, then you can find out from, you know, you can find somebody else that *t*-2 can tell you something else about these,###speakerb268.###yeah.###speakera269.###speakerb1.###okay,	what	no	What is a thing...?	What is every thing...?	What is the thing...?
119557:20	and, and what does it cost these people over there *t*-1, you know.	###speakerb2.###i think that it's time that we concentrate more on what *t*-1's going on within our own borders than what *t*-2's going on in the middle east *t*-3.###speakera3.###i have *-1 to agree with you there.### i, uh, i think that, uh, for once, we should, we shouldn't even be at, at these mid east talks because, with the exception of our hostages, we really don't have too much of a, uh, real in-, we shouldn't have too much of a real interest in * deciding whose land it is *t*-1.###just * let these people fight it out###speakerb4.###i agree.###speakera5.###you know, we've got so many domestic problems,	what	no	What is a thing...?	What is every thing...?	What is the thing...?
131946:4	what do you use it for *t*-1?	###speakera12.###yeah.###speakerb13.###that's all 0 i got *t*-1 0 * to say *t*-2 for it.###speakera14.###yeah.###what do you use it for *t*-1?###speakerb15.###huh?###speakera16.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
31262:4	what are you telling that student *t*-1?	###and, uh, she showed me a paper that he had just handed *t*-1 in.###and she told me what she had requested *t*-1.###and i read it###and while it had, you know, a few little grammatical problems, it wasn't very long and so forth. i thought 0 it had some nice, well thought out, uh, parts to it.###speakera72.###uh-huh.###speakerb73.###she gave him an f on that paper.###and i thought, well now, here you have a student who *t*-1 is trying *-3 to pass, who *t*-2 is struggling with your subject###and you give them an f on something that *t*-1 doesn't seem that bad to me.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
142635:4	what color did you paint *t*-1,	###speakera37.###uh-huh.###speakerb38.###i think 0 i am going *-1 to put something like a brown on it, on the outside. and maybe, a little deeper brown *ich*-2 in the entry way or something so it will stand out a little.###speakera39.###oh, that will be nice.###speakerb40.###speakera41.###huh.###speakerb42.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
108123:4	what kind do you like *-1 to watch *t*-2?	###speakera7.###uh-huh.###uh, i've never really watched that one.###you know, it's funny how you can just get in a mode where you only watch certain shows *t*-1 *t*-2###speakerb8.###that's ri-,###yeah.###speakera9.###and, uh, you know, there's, so there's only a few that i, that i like *-1 to watch *t*-2 routinely.###speakerb10.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
12197:4	what do you like to, *-1 to cook *t*-2?	###speakera13.###really,###that sounds good.###speakerb14.###speakera15.###um, fattening.###speakerb16.###yeah,###actually.###how about you,	what	no	What is a thing...?	What is every thing...?	What is the thing...?
6220:90	what does that mean *t*-2 and what is the pension all about *t*-3	###when i was much younger *t*-1 it *exp*-2 was, uh, less important * to consider retirement and less important * to consider medical benefits.###but as i grow older and my family grows, it, the medical benefits are more important###and the retirement is more important.###speakerb12.###i had never really thought of it that way###but i guess 0 that's true,###i guess 0 that's true.###i'm still young enough that, that, uh, the vacation's real important to me###and the paid time off *ich*-1 is real important to me and, and that kind of thing.###but, uh, you know, i was just, as a matter of fact, i just, uh, celebrated my fifth year at t i the end of last month and, uh, kind of started *-1 looking through the, the book because of that, you know, now that i'm a hundred percent vested *-1, you know, you kind of look through the book and see well, what exactly,	what	no	What is a thing...?	What is every thing...?	What is the thing...?
11532:7	well what have you seen *t*-1?	###speakerb24.###yeah,###in fact, it got some pretty serious deep parts in it###so.###speakera25.###yeah,###right.###speakerb26.###yeah.###speakera27.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
129702:16	what, what do you do *t*-1, now?	###speakerb2.###yes.###speakera3.###well, lots, right?###speakerb4.###right.###speakera5.###finally.###speakerb6.###really,	what	no	What is a thing...?	What is every thing...?	What is the thing...?
129435:6	but what is it worth *t*-1?	###yeah,###but,###speakera89.###speakerb90.###but then you have *-1 to look at reality.###i mean, i think 0, you know, normally they, they may get out###so,###speakera91.###that's true.###speakerb92.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
26006:4	what do you mean *t*-1	###speakerb54.###so what is it *t*-1 now?###speakera55.###it's up to fifty-five on the gold card.###it's eighty-five for the optima.###or, i'm sorry no,###fif-,###no###fif-,###speakerb56.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
113885:6	but what do you think *t*-1,	###uh-huh.###speakera24.###and you know we have *-1 to remember 0 the chinese came here and were our labor, you know, for the railroad, transatlantic railroad###and, our irish came and, you know, built the towns and, did labor.###speakerb25.###yep.###speakera26.###speakerb27.###uh-huh.###speakera28.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
108104:12	well, so what is your favorite t v show *t*-1?	###speakerb78.###bye.###speakera1.###well, i almost forgot the topic,###i was waiting so long for, uh, for it to find somebody.###um,###speakerb2.###it's on your favorite t v shows and why.###speakera3.###right,	what	no	What is a thing...?	What is every thing...?	What is the thing...?
