TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	AResponse	AllResponse	TheResponse
124976:82	what would you buy *t*-2?	###speakerb4.###oh, i guess 0 it's a general motors product,###and i like general motors because they're made *-1 in the united states,###and, uh, we've had general motors for years and have always had real good luck with them.###speakera5.###okay,###well that's good.###speakerb6.###uh-huh.###speakera7.if you had, uh, no financial requirements, if you could buy any car in the entire world, no matter what it cost *t*-1,	what	yes	What is a thing...?	What is every thing...?	What is the thing...?
59437:6	so why hav-,	###yeah.###speakerb30.###and if he had an automatic weapon could he really be raising some problems.###you know, * just proving that you're a basically a good citizen.###speakera31.###but if you're not a, if you're not a basically good citizen,###you just told me that you're going *-1 to get one of those guns anyway.###speakerb32.### if, if they want the firepower they can get it.###speakera33.	why	no	What is a reason...?	What is every reason...?	What is the reason...?
14147:4	what did you think *t*-1 of the news coverage of the war?	###and i-, and i used *-1 to enjoy john chancellor's style of reporting,###but on the nightly news, now, he goes into his commentary###and that's where i get, get into the problem with, with him *t*-1.###i frequently disagree with his commentaries,###so.###speakerb40.###well, once they've reported the facts,###all 0 they can offer *t*-1 is an opinion anymore.###speakera41.###right.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
119725:10	well, what particularly are you interested in *t*-1?	###speakera15.###well, i'm a current event junkie.###so i, i watch, i try *-1 to watch the news,###and i read the newspaper,###and i like *-1 to read time magazine and people magazine *-2 to keep up with what *t*-3's going on in the world.###speakerb16.###i see.###speakera17.###mumblex.###speakerb18.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
114602:4	what kind do you have *t*-1?	###speakerb8.###i don't use it as much as my children and my husband do.### my, actually my husband and i are taking a class *ich*-1 at our local junior college called * micro, micro computers one o one###and we're just touching on data base, spreadsheets and word processing and just kind of, you know, different kinds of storage###and we're just kind of touching on a basic computer.###speakera9.###uh-huh,###uh-huh.###speakerb10.###speakera11.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
130374:4	what's your favorite color *t*-1?	###but, um, so what, what is your dream car *t*-1?###speakerb68.###uh, i haven't really thought about it.###i'm not too big on cars.###i mean, i don't know the names and stuff,###but if i were *-1 to go to a car lot and like look at them i would pick out one that *t*-2, you know looked really nice.###speakera69.###uh-huh.###speakerb70.###speakera71.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
116745:8	so what *ich*-2 have you seen *t*-1 interesting on oprah winfrey lately?	###yes,###we watch c n n in morning while we're getting ready for the day and eating breakfast.###speakera81.###uh-huh.###speakerb82.###we'll catch our news that way.###* watch the weather channel so that we know what the weather's going *-1 to be like *t*-2.###speakera83.###yeah,###yeah.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
32740:4	what have you got *t*-1 growing right now?	###sure.###speakerb264.###that would be nice.###speakera265.###we've had a garden *ich*-1, gosh, for years and years and years, of some size, you know,###speakerb266.###uh-huh.###speakera267.###i can't remember a year when we didn't have one of some kind *t*-1.###speakerb268.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
28905:7	now what year are we talking about *t*-1?	###speakera57.###yeah.###speakerb58.###and boy i was pulled *-1 in by my manager and told *-1 that you just don't say that, you know,###speakera59.###well, it's not,###speakerb60.###it was not applicable to me###and i was kind of horrified.###speakera61.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
78481:16	by, what do you mean *t*-1 by liberal, um.	###unless you have something 0 *t*-1 to do with it.###speakerb10.###yeah.###speakera11.###right.###speakerb12.###but the problem is, that i am very liberal politically###and so i hardly ever have anybody that *t*-1 wins that i vote for *t*-2.###speakera13.###oh, liberal,	what	no	What is a thing...?	What is every thing...?	What is the thing...?
116337:4	what are you studying *t*-1?	###speakerb126.###speakera127.###speakerb128.###you're a junior.###speakera129.###speakerb130.###good for you.###speakera131.###so,###speakerb132.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
127608:9	uh, what do i watch *t*-1 at nine o'clock.	###speakera15.###oh,.###speakerb16.###and, uh, * let's see,###that's general hospital,###and then, uh, at night, uh, i don't, uh, when i sit down *t*-1, i don't usually sit down till almost nine o'clock when my kids get in bed *t*-2###speakera17.###i know.###speakerb18.### and, and, uh, then i watch,	what	no	What is a thing...?	What is every thing...?	What is the thing...?
47927:6	and what are you studying *t*-1?	###and, um, i kept him on friday night,### we went sh-, we went *-1 to go *-2 see a movie and, um, things like that###but i feel like, i don't know, when i have children *t*-1 i want *-2 to be able *-3 to spend a lot of time with them.###speakerb24.###yeah,###mumblex you say 0 your, you go to school?###speakera25.###uh-huh,###i go to l s u.###speakerb26.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
93850:5	what else do we like *-2 to have *t*-1 for,	###speakera35.###but a time consuming place.###speakerb36.###speakera37.###yeah,###right,###right,###so.###speakerb38.###* let's see,	what	no	What is a thing...?	What is every thing...?	What is the thing...?
117541:6	and what do you have *t*-1?	###i have two cats.### and do,### and, oh, and two fish.###speakera3.###two cats,###you're lucky.###speakerb4.###speakera5.###your two fish.###speakerb6.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
8633:23	what are you, what are you studying *t*-1?	###so, it's basically, you know,### it's like, it's not too much money,###and it's not too little money,###so i won't have *-1 to, you know, rush a letter to him or something,###speakerb48.###yeah.###speakera49.###because, um, he really wants me to concentrate on my studies.###speakerb50.###yeah.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
26224:4	what do you mean *t*-1, where?	###speakera133.###not yet.### ours don't, ours doesn't start until, uh, next week.###speakerb134.###so where are you *t*-1?###speakera135.###where am i *t*-1?###speakerb136.###yeah.###speakera137.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
122164:4	what have you seen *t*-1 recently?.	###uh, i st-, i want *-1 to see the fisher king and, and, uh, catch robin hood.###speakera5.###okay.### i, uh, i haven't seen either one of those.###uh, what, what are some of the shows that you have been able *-1 to rent *t*-2 *t*-3 though?###speakerb6.###uh, * let's see.###uh, i'm trying *-1 to just think of the ones that *t*-2 have come on.###uh, white palace which i thought 0 *t*-1 was over rated, over hyped, um, recently.###well, you're catching me at, it, uh, uh, at mind's end here.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
60729:14	um, well, what do you think 0 *t*-1 is, uh, the pollutants, the main pollutants in the air?	###speakera127.###bye.###speakerb128.###good-bye.###speakera1.###so, well, this is an appropriate topic the day after earth day,###so.###speakerb2.###right.###speakera3.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
87594:4	what do you think *t*-1?	###speakerb78.###uh-huh.###uh-huh.###speakera79.###so, uh,###speakera1.###well, we, uh,###taxes,###everyone thinks 0 taxes are too high i'm sure 0 *t*-1.###but, uh, i think 0 we do get quite a good value for the tax dollars 0 we spend *t*-1 in most cases.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
123382:6	so what's it been like *t*-1 up there?	### it was, it was, uh, * let's see, yeah, it was forty-eight.###i was in the air force.###speakera5.###uh-huh.###speakerb6.###we did an air show out at, uh, out at, uh, boone greene, no out at, uh andrews,###speakera7.###andrews?###speakerb8.###yeah.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
109013:16	what, what do you feel 0 *t*-2 is the, the major change that *t*-1's been going on?	###yeah.###speakerb116.###yeah,###it's really a bad situation here.###speakera117.###oh, that's a shame.###well, i, i felt a little cheated at tech, also.###once i got into my,###i, um, majored in,###speakera1.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
171763:27	and, it's like, okay, what *ich*-1 do we have *t*-3 left, what do we have *-2 to pay *t*-4, what have we paid *t*-5 this month. what *t*-6 hasn't come in yet, you know.	###uh-huh.###speakerb56.###you know, i keep track of every penny. and, more or less, enter it in.###speakera57.###uh-huh.###speakerb58.###every single day i'm at the computer.###speakera59.###i see.###speakerb60.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
128346:16	what, what's the criteria for * picking a college *t*-1?	###uh, * let's see,### when i, when i went away to school *t*-1, i'm trying *-2 to think my criteria.###i guess 0 when you're, when you're eighteen or so *t*-1, uh, it *exp*-2 would be important * to know if it was a coed college.###speakera9.###speakerb10.###that was a, a strict requirement for me.###uh, again what, uh, how serious a person is *t*-10 according to, uh, uh, you know, what, what they want *-1 to get *t*-2 out of school,### and, uh, i guess 0 they'd have *-1 to consider how expensive the college is *t*-8 and how close to home, if they could handle *-3 being away for real long periods of time or if they need *-4 to be somewhere where they can drive home when they needed *-5 to get home *t*-6 *t*-7.###uh, * let's see, uh,###now what was the question *t*-1,	what	no	What is a thing...?	What is every thing...?	What is the thing...?
128710:4	how did,	###and,###speakerb97.###oh, yes,###in fact, thing has a big, much bigger role than he does in the series.###i mean, you know, there is lots of areas where thing saves the day *t*-1.###speakera98.###really?###speakerb99.###and he runs around a lot.###speakera100.	how	no	What is a way...?	What is every way...?	What is the way...?
107918:7	well how do you dress for work *t*-1?	###why don't you start *t*-1###so you probably have a job 0 you need *-1 to get to *t*-2 pretty soon.###speakerb2.###i'm already on my job###speakera3.###oh, you are *?*,###speakerb4.###so, you, you reached me at my job.###speakera5.###oh, wonderful,	how	no	What is a way...?	What is every way...?	What is the way...?
166857:16	who, how do you know that *t*-1?	###speakera43.###and they call you up###and they actually happen *-1 to be people who *t*-2 are, graduated in your class or something like that.### and, and they say, oh, we, we know you.###you, uh, had, uh, contributed x amount last year.###can you do better this year?###and, you know, like * hold on here.###speakerb44.###how do you know that *t*-1?###speakera45.	how	no	What is a way...?	What is every way...?	What is the way...?
173007:4	who do you work for *t*-1?	###you must be a t i employee.###speakerb66.###you must be what?###speakera67.###you must be a t i employee?###speakerb68.###no,###i'm not *?*.###speakera69.###you're not a t i,	who	no	Who is a person...?	Who is every person...?	Who is the person...?
39264:8	so. where did you get your recipe for it *t*-1?	###oh!###speakerb12.###speakera13.###i expect so.###uh, well for a dinner party, i think 0 *t*-1 one of my favorite things is baked chicken and white wine.###speakerb14.### that's, that's really weird that you said that because for a dinner party, mine is, is a, is a chicken in a marsala wine sauce,###speakera15.###oh.###speakerb16.	where	no	What is a place...?	What is every place...?	What is the place...?
103015:4	where do you live *t*-1?	###okay.###um,###speakerb2.###where do you live *t*-1?###speakera3.###in plano.###speakerb4.###in plano?###speakera5.###yes.	where	no	What is a place...?	What is every place...?	What is the place...?
control_a_tissue	Do you want a tissue?	speakera. Your nose is running. speakerb. Oh yeah I didn't notice. speakera. 	none	no	A tissue…?	Every tissue…?	The tissue…?
control_a_napkin	Can I hand you a napkin?	speakera. Oh no! I just spilled my spaghetti down my shirt. speakerb. Oh no.	none	no	A napkin…?	Every napkin…?	The napkin...?
control_the_book	Did you return the book you borrowed?	speakera. Hey. speakerb. Hey what's up? speakera. I noticed a late fee from the library. 	none	no	A book...?	Every book…?	The book...?
control_the_movie	Can you text me the movie schedule?	speakera. What are you doing tonight? speakerb. Nothing what about you? Wanna grab a movie? speakerb. Sure but I don't have wifi right now. 	none	no	A movie schedule...?	Every movie schedule…?	The movie schedule...?
control_all_cookies	Did you grab all the cookies?	speakera. It's time to leave for the potluck.The car's almost packed. speakerb. 	none	no	A cookie...?	Every cookie…?	The cookie...?
control_all_novels	Have you read all her novels?	speakera. I love Octavia Butler she's the best. speakerb. Yeah she's great. speakera.	none	no	An novel...?	Every novel…?	The novel...?
