TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	AResponse	AllResponse	TheResponse	Aresponse
50695:4	how would they decide who *t*-1 goes into, uh, * building fire breaks in yosemite national park and who *t*-2 goes to saudi arabia *t*-3?	###and people said, well, they, uh, young people who *t*-1 were drafted *-2 have *-3 to provide military service to the country,###but there are an awful lot of young people who *t*-1 would benefit from, um, some sort of public service, like the conservation corps back in the thirties or, uh, various other things of that sort.###speakerb4.###uh-huh.###speakera5.###and it seems to me that it's, it's not a totally bad idea,###but i don't quite see how they'd make it work *t*-1.###speakerb6.###uh-huh.###speakera7.	how	yes	What is a way...?	What is every way...?	What is the way...?	
131435:7	because who *t*-1 says that they just must got *-2 to come over *-3 to see us all the time for the holidays.	###sometimes that's okay.###speakera43.###i know.###speakerb44.###because,###speakera45.###that's what my mother said *t*-1 one time.###speakerb46.###you know,###right,	who	yes	Who is a person...?	Who is every person...?	Who is the person...?	
82856:12	well, then how can a democracy work then *t*-1?	### i, i, i guess 0 i have a hard time *-1 coming to terms with the, the fact that the american public really was, you know, so...###speakera75.###well, they do.###speakerb76.###speakera77.###well, * don't give too much credit to the american public for their motivational ability.###speakerb78.###speakera79.### and, and, and it...###speakerb80.	how	yes	What is a way...?	What is every way...?	What is the way...?	
175042:4	how do you feel about public schools *t*-1?	### they don't, they don't really do that.###so.###speakerb66.###wow.###is it *exp*-1 formal policy that they said 0 they might test?###speakera67.###yeah.###speakera1.###okay,###i'm here.	how	no	What is a way...?	What is every way...?	What is the way...?	
146887:7	so how do you just figure mumblex *t*-1,	###so, i still throw away a lot of glass.###speakerb85.###it is really sad.###speakera86.###yeah.###and then the packaging thing really grips me.###you buy some###and it's got a great big piece of cardboard and a great big piece of plastic,###speakera1.###okay.	how	no	What is a way...?	What is every way...?	What is the way...?	
67013:20	how d-, how does that work, work out with, uh, * storing your bike and showering and all that *t*-1?	###speakerb13.### it, it, it varies.###uh, out near my house is pretty hilly.###uh, but sometimes i bike to work which *t*-1 is about, uh, a fifteen mile trip each way.###and that's mostly flat.###speakera14.###how long does that take you *t*-2 * to get to work?###speakerb15.###uh, about forty-five, fifty minutes.###speakera16.	how	no	What is a way...?	What is every way...?	What is the way...?	
33964:9	uh, how do you feel about it *t*-1?	###well, i don't know.### i've, i've had mixed emotions *ich*-4, i guess 0 *t*-3, when i listen to, uh, the radio and, and watch t v *t*-2 about the different, uh, things that *t*-1 are happening.###uh, i'm against it###but on the same token, uh, i went out and purchased a gun just because i wanted the right * to do that.###speakera3.###ye-,###speakerb4.###so i, i have a rifle in the house.###uh, the ammunition is probably so old 0 i'm afraid *-1 to use it.###but, uh, i bought it for target practicing and, uh, and also because i wanted a weapon.	how	no	What is a way...?	What is every way...?	What is the way...?	
20121:21	well, how, how do you feel *t*-1 about the immigration laws?	###speakera195.###oh the worst kind,###yeah,###speakerb196.###speakera197.###yeah.###speakerb198.###yeah,###all the characteristics...###speakera1.	how	no	What is a way...?	What is every way...?	What is the way...?	
155266:9	well, how to you handle that, the long range or medium range planning on finances *t*-1?	###speakerb8.###yeah,###well, it's similar problems###but, uh, we just have the one check book###and we try *-1 to keep it up to date as much as possible###and occasionally we will get behind like you say###but, uh, it doesn't really seem *-1 to be too, too tight if we just remember *-2 to keep everything up, up to date and balanced.###speakera9.###uh-huh.###speakerb10.	how	no	What is a way...?	What is every way...?	What is the way...?	
174853:7	so how do you feel *t*-1 about it?	###so.###speakerb84.###yeah.###speakera85.###or death before the firing squad or whatever.###speakerb86.###yeah.###speakera87.###so, i think 0 about the only one is, uh, rape,###speakera1.	how	no	What is a way...?	What is every way...?	What is the way...?	
29724:4	how were you decorating the baskets *t*-1?	###that's interesting.###speakera43.###yeah,###it is *?*.###speakerb44.###how did you know *-1 to choose this subject, tonight *t*-2.###that's funny.###what,###how did you,###what kinds of decorations did you use *t*-1 with the bas-,	how	no	What is a way...?	What is every way...?	What is the way...?	
152366:16	how, how does, uh, university of new hampshire handle it *t*-1?	###right.###speakera49.###but i'll tell you, 0 i, i don't mind *-1 having dental, you know,###sometimes dental costs can be, um, just about as expensive, if not more,###and i know 0 historically a lot of companies i think carried dental as a rider along with the medical###speakerb50.###uh-huh.###speakera51.###but i'm not sure 0 that's, that's widely followed *-1 any more.###i'm not sure,	how	no	What is a way...?	What is every way...?	What is the way...?	
29722:4	how did you,	###speakerb42.###yes.###that's interesting.###speakera43.###yeah,###it is *?*.###speakerb44.###how did you know *-1 to choose this subject, tonight *t*-2.###that's funny.###what,	how	no	What is a way...?	What is every way...?	What is the way...?	
161205:9	well, how do they become s-,	###are they really *?*?###i don't think 0 i've ever seen one.###speakera67.###uh, they're really nice.###speakerb68.###speakera69.### i, i've dealt with quite a few of them.### people, uh, customers that *t*-1 bring them into the shop and ask me like, they, uh, fit collars and stuff on them###and they are, they are just really nice, really friendly, uh, kind of like medium intelligence. uh,###speakerb70.	how	no	What is a way...?	What is every way...?	What is the way...?	
72731:16	how, how do you look at * counting credit cards *t*-1?	###speakera29.###yeah.###but other than that, uh, i, i guess 0 over the years * tried *-1 to avoid the national credit card syndrome, of * just putting everything on there day after day after day###speakerb30.###uh-huh.###speakera31.###and then, then you really get socked *-1 to it, if you don't watch it.###speakerb32.###yeah.###speakera33.	how	no	What is a way...?	What is every way...?	What is the way...?	
75050:4	how was life different ten, twenty, or thirty years ago *t*-1.	###speakerb40.###uh-huh.###so, what was our question about *t*-1,###decline in socio-,###speakera41.###* wasn't the decline so much.###i think 0 they just said the changes in, uh, social, social changes in the united states.###speakerb42.###yeah.###speakera43.	how	no	What is a way...?	What is every way...?	What is the way...?	
14266:4	who do you think *t*-1?	###speakera81.###speakerb82.###speakera83.###so, that is something 0 you might keep your eyes open for *t*-1,###i think 0 it's, it's catching on throughout the country.###speakera1.###okay.###speakerb2.###so, who's your, uh, favorite team *t*-1?###speakera3.	who	no	Who is a person...?	Who is every person...?	Who is the person...?	
137688:4	who is the competition going *-1 to be *t*-2?	###uh, you know, they have a young team.###it's, you know, a lot different than the teams 0 they used *-1 to have *t*-2 where it's the same old, you know, players *ich*-3 every year and, you know, same coach, same everything *t*-4,###so, now it's, you know, like a taste of something different.###they're all not, you know, mister nice guys like they used *-1 to be *?*.###speakerb36.###speakera37.###now it's like, you know, tough and dirty team###so everybody is really excited.###and,###speakerb38.	who	no	Who is a person...?	Who is every person...?	Who is the person...?	
54662:4	who's your favorite actress or actor *t*-1?	###you see it for, uh, you know a couple of hours or an hour###and it really,###there's a lot in it when you look at the scenery and the cars, and all the different stuff like that *t*-1, you know.###speakera80.###oh, yeah,###oh.###speakerb81.###speakera82.###yeah.###speakerb83.	who	no	Who is a person...?	Who is every person...?	Who is the person...?	
173007:4	who do you work for *t*-1?	###you must be a t i employee.###speakerb66.###you must be what?###speakera67.###you must be a t i employee?###speakerb68.###no,###i'm not *?*.###speakera69.###you're not a t i,	who	no	Who is a person...?	Who is every person...?	Who is the person...?	
109109:4	where do you live *t*-1?	###i don't know,###i have one woman, one mother that i know 0 *t*-1 is home,###but she also has ten children.###speakera37.### what, what grade do you teach *t*-1?###speakerb38.###six, seven and eight.###speakera39.###six, seven and eight.###i've got a chi-, uh,	where	no	What is a place...?	What is every place...?	What is the place...?	
147088:4	where did you live *t*-1 before?	###speakera71.###yeah,###that's how i feel *t*-1 too.###speakerb72.###yeah.###do you like, uh, uh, iowa?###speakera73.###um, oh, it, there's some good things about it###but i've seen. a lot of things 0 i'm not used to *t*-1 yet, um,###speakerb74.	where	no	What is a place...?	What is every place...?	What is the place...?	
11550:4	where did you cry *t*-1.	###did you cry through it?###speakera31.###yes,###the whole way.###speakerb32.###it was telling a friend,### i, i said, i only cried twice,###but each was about half an hour long,###so.###speakera33.	where	no	What is a place...?	What is every place...?	What is the place...?	
93182:4	where are you from *t*-1 originally?	###that's all mexico, i think 0 *t*-1.###speakerb57.###yes,###uh-huh.### and, but it was wonderful.###so we really like those.###and, uh, i guess 0 we just like *-1 to go someplace, someplace entirely different.###we've been to a few places in this country.###we still have a lot 0 *-1 to see *t*-2, though.###speakera58.	where	no	What is a place...?	What is every place...?	What is the place...?	
29261:4	where do you get most of your news *t*-1?	###surely.###i've enjoyed it.###speakera54.###all right,###you too.###speakerb55.###bye, bye.###speakera56.###bye.###speakera1.	where	no	What is a place...?	What is every place...?	What is the place...?	
103008:4	where do you live *t*-1?	###it's called *-1 cafe max###and it's at plano road and campbell.###they have the most wonderful salads.###they do what they call *t*-1 a salad sampler which *t*-2 easily could feed two or three.###speakerb144.###oh, really?###speakera1.###okay.###um,###speakerb2.	where	no	What is a place...?	What is every place...?	What is the place...?	
149274:12	oh, now where do they live *t*-1?	###speakera13.###uh-huh,###and whe-,###speakerb14.###we get an occasional one or two day thing###speakera15.###oh.###speakerb16.###but most of them are * going and seeing grandma and grandpa.###speakera17.	where	no	What is a place...?	What is every place...?	What is the place...?	
15722:4	where do you work *t*-1?	###speakera7.###and so i can see from the company's standpoint that there, uh,###whenever you are an employee of the company *t*-1, you are using its assets,### and, uh, b-, you are also under their liability, under the workmen's comp.###speakerb8.###uh-huh.###speakera9.###uh, on my job we had a lot of workmen's comp cases###and, i work for a tire company modern tire.###speakerb10.	where	no	What is a place...?	What is every place...?	What is the place...?	
143016:4	where have you gone *t*-1 there?	### so. so, i, i guess 0 those are the types 0 i like *t*-1.###speakera3.###uh-huh.###speakerb4.###speakera5.###uh-huh.###speakerb6.###we've really enjoyed them.###speakera7.###yeah.	where	no	What is a place...?	What is every place...?	What is the place...?	
143033:4	where have you been *t*-1?	###speakera11.###uh-huh.###speakerb12.###but, um, i guess 0 my favorite is probably switzerland and ireland.###speakera13.###uh-huh.###yeah###well, i've been over there too.###speakerb14.###uh-huh.	where	no	What is a place...?	What is every place...?	What is the place...?	
control	I want to eat a burger.	Speaker 1: I'm hungry. Speaker 2: What do you want to eat? Speaker 1: 				Every burger…	The burger…	A burger…
control	I want to get a cat. 	Speaker 1: My house feels empty. Speaker 2: Oh, you should get a pet. Speaker 1: Great idea! 				Every cat…	The cat…	A cat…
control	I want to go to the library.	Speaker 1: I'm bored. Speaker 2: Let's go somewhere. Speaker 1: Where? Speaker 2: 				Every library…	The library…	A library…
control	I want to go to the theater.	Speaker 1: We never do anything fun on the weekend. Speaker 2: Ok, what do you want to do instead? Speaker 1: 				Every theater…	The theater…	A theater…
control	I want to eat all the cookies.	Speaker 1: I've been on this diet, and haven't been eating sweets. Speaker 2: That's great, but I love sweets, I couldn't give those up. Speaker 1: Yeah, it's hard. Whenever I see a dessert buffet,  				Every cookie…	The cookie…	A cookie…
control	I want to read all her novels.	Speaker 1: I love Octavia Butler, she's the best. Speaker: 2: Yeah, she's great. I've only read her short stories, but				Every novel…	The novel…	An novel…
