TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Question	AResponse	AllResponse	TheResponse	punct
31532:66	but * seeing what drugs did *t*-1 to him makes me see, makes me realize what it could do *t*-2 to people, you know, in the work force as well.	###i mean, he's, you know, he's so messed up.###speakera73.###right.###speakerb74.###and, um, this was a nice, sweet, young man who, teenager, you know,###and he's now a young man about twenty, i guess 0 *t*-2, who, um, *t*-1 just got really down the wrong path.###speakera75.###right.###speakerb76.###and, uh, you know, i don't know that, that his problem would ever have been detected *-1 by drug testing.	what	yes	what it could do *t*-2 to people, you know, in the work force as well	...what is a thing...	...what is every thing...	...what is the thing...	
5923:66	like all these people are just standing, sitting around, just going, you know, like what shall we do *t*-1?	###uh-huh.###speakera143.###and then the other people just plan it, you know.### it's like, it's like have you, have have you ever seen the commercial like for federal express where the, with, uh, the think tank? you know,###speakerb144.###mumblex * push paper around.###speakera145.###speakerb146.###uh-huh.###speakera147.	what	yes	like what shall we do *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
153391:61	but i don't really know, i mean, unless they do, uh, just outlaw them, how you can, uh, prevent that *t*-2.	###how do you feel *t*-1 about gun control?###speakerb2.###well, uh, i mean i don't think that guns should be outlawed *-1###speakera3.###um.###speakerb4.###but it's going *-1 to,###a lot of the stuff that,###i mean all 0 you do *t*-1 is * to get guns###and then like with the stuff of that massacre in killeen, texas not too long ago,	how	yes	how you can, uh, prevent that *t*-2	...what is a way...	...what is every way...	...what is the way...	
37675:66	i, you know, i think that there's coming to a point *ich*-1 real soon when ticket prices are going *-2 to be to the point where the average fan can't go *t*-3 *t*-4	###it really doesn't,###so.###speakerb90.###well and that, i think 0 that's maybe part of it that, that the, um,###and it, you know,###if i owned the team. i think 0 *t*-1 you'd like them to do well###but the question of * losing big, big money that###what, did, did, did steinbrenner actually make money on the,###speakera91.###uh, you got me.	when	yes	when ticket prices are going *-2 to be to the point where the average fan can't go *t*-3 *t*-4	...what is a time...	...what is every time...	...what is the time...	
122679:17	you hear about it where they will take the orange ball out there *t*-1	###speakerb62.###no,###but i have played golf in the snow before.###* get out my orange golf ball and go out.###speakera63.###yeah.###speakerb64.###speakera65.###yeah,###that's what they do *t*-1 here sometimes.	where	yes	where they will take the orange ball out there *t*-1	...what is a place...	...what is every place...	...what is the place...	
106572:60	in fact, we are in a position that most of our friends why, wonder why we just don't go to a new car, you know, whatever *t*-1 *t*-2,	###my husband, um, owned his own company###and it went under,###and so we could no longer afford that monthly payment,###and now it just seems just such a large amount of money 0 * to spend *t*-1 that, that we do have a used car,###well, he has a company car also,###but for our personal car we have a used car.###um, do you think that it *exp*-1's wiser * to buy * used?###speakera33.###we do for us###very much so.	why	no	why we just don't go to a new car, you know, whatever *t*-1	...what is a reason...	...what is every reason...	...what is the reason...	
84643:18	and you are like, why are they repeating *t*-1?	###right, um,### i do not, i do not know. because i am not real up on a lot of news things.###speakera174.###uh-huh.###speakerb175.###but, you know, you just hear about that, that, you know,###speakera176.###uh-huh.###speakerb177.###it is a lot of repeat crime.	why	no	why are they repeating *t*-1	...what is a reason...	...what is every reason...	...what is the reason...	
44780:16	you kind of wonder what *t*-1 really happened.	###speakera95.###and, uh, you know, she just brought the cat in because he wasn't feeling good.###so that that was kind of a surprise###speakerb96.###really.###geez.###speakera97.###at lea-,###speakerb98.###yeah.	what	no	what *t*-1 really happened	...what is a thing...	...what is every thing...	...what is the thing...	
84947:19	i mean you know what it's like *t*-1 here.	###speakera21.###society, has especially recently.###speakerb22.###speakera23.###speakerb24.###yeah,###i know 0 in florida there's no place 0 you go *t*-2 that *t*-1 isn't air conditioned,###and i do quite a bit of business in washington.###and,###speakera25.	what	no	what it's like *t*-1 here	...what is a thing...	...what is every thing...	...what is the thing...	
138852:21	uh, i don't remember what they call it *t*-1, sort of like a positive, negatives or some, some kind of word 0 they use *t*-2 when a, uh, you get a, uh, a positive indication of drugs *t*-3, but there's not really, there weren't really any there *t*-3.	###speakera8.###same sort of problem that *t*-1 happens sometimes is these, some of these, uh, like aids tests and such.###speakerb9.###okay.###speakera10.###speakerb11.###uh-huh,###yeah,###that's right,###i have heard,	what	no	what they call it *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
55821:35	because you can buy a month's membership. and see what you feel 0 *t*-1 is best for you.	###speakerb146.###so you have a little, you know, little,###you can program the one at cosmopolitan lady so, to what your gear is *t*-1.###speakera147.###uh-huh.###speakerb148.###uh, i,###it would depend upon which one you want *t*-1.###i think 0 now that i've had the bicycle, i would go to the stepper.###but if i were you, i would go *-1 apply to either a health club or one of the others and use it for a while.	what	no	what you feel 0 *t*-1 is best for you	...what is a thing...	...what is every thing...	...what is the thing...	
57474:11	i know what you mean *t*-1.	###i haven't gotten really involved in anything, uh, extensive in car repairs in, oh, oh, probably a year or so.###i think 0 the last thing 0 i did *t*-1 of any significance was * change the water pump on an oldsmobile.###speakerb2.###yeah,###i had a similar thing, that i've worked on cars ever since i was, uh, a kid.###and that was some time ago,###but i've gotten to the point where, uh, the newer cars are getting so complicated 0 * to work on *t*-1 that, uh, oh, most of the cars### i buy, i try *-1 to buy as simple a car as possible.###speakera3.###yeah,	what	no	what you mean *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
