TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Question	AResponse	AllResponse	TheResponse	punct
60864:32	so, i don't see, you know, how they can do some of the te- *t*-1,	###i'm not really sure###but i would think 0 it *exp*-1 would be easier * to detect those things because you could detect them down strean-, or stream or such,###speakerb48.###yeah.###speakera49.###or you can, you can, you know, do, uh, testing on the ground itself at that point,###speakerb50.###uh-huh.###speakera51.###but when they pollute into the air *t*-2 and you've got, you know, and you've got movement through the air *t*-2, it's going *-1 to move a lot of that off.	how	yes	how they can do some of the te- *t*-1	...what is a way...	...what is every way...	...what is the way...	
14560:34	i just remember *-1 trying *-2 to figure out where you could get	###and then they're some sections kind of in the corner areas,###and then the cheapest of course is going *-1 to be the end, the direct end zones.###but, um, they have about four or five different prices *ich*-1 now, that they're structuring it with *t*-2,###but obviously yeah, they're all going up, mumblex more or less is what it's going *-1 to do *t*-2.###speakerb88.###so now the tickets even got lower than the lowest one last year.###speakera89.###um, you know, i'm not sure,###i'm not positive,### i didn't, i didn't really think about that.	where	yes	where you could get	...what is a place...	...what is every place...	...what is the place...	
60573:116	and, and i seem rather happy about it *ich*-2 most of the time, *-3 just, just to know, what's, possibilities *t*-1 are, you know, what *t*-4 might happen.	###uh-huh.###well, the one thing i guess 0 *t*-1 at least in your favor is the, the fact that, that is more in the support of the manufacturing###and there's lots and lots of companies that *t*-1 have maybe not in the de-, the defense area but manufacturing in general.###speakera65.###* to tell you the truth, i'm, i'm, i'm not really worried.###speakerb66.###uh-huh.###that's great.###that's good.###speakera67.	what	yes	what *t*-4 might happen	...what is a thing...	...what is every thing...	...what is the thing...	
138987:14	uh, think what else i can say *t*-1 about that.	###that's what my brother was telling me *t*-1.###that's good, good new-, good deal.###well, uh, how long were we s-,###i haven't done this in a couple months.###how long were we supposed *-1 to discuss for *t*-2?###speakera60.###uh, you're supposed *-1 to get five minutes.###speakerb61.###okay,###we got a couple more minutes then, i guess 0 *t*-1.	what	yes	what else i can say *t*-1 about that	...what is a thing...	...what is every thing...	...what is the thing...	
79971:13	you know, how some older women will get the big bulge right in the middle *t*-1.	###well if you keep *-1 working out when you're young though *t*-4, when you get older *t*-3, you know, your body's not going *-2 to look as bad.###i seen an old woman today,###she was about eighty###and she looked so good,###speakera45.###yeah.###speakerb46.###i mean she was standing *-1 just as straight and tall###and she had a small waist###and she didn't have, you know, like,	how	yes	how some older women will get the big bulge right in the middle *t*-1	...what is a way...	...what is every way...	...what is the way...	
146842:67	and, uh, i just look at it, 0 i don't want my grandchildren looking at me and saying why didn't you do something *t*-1.	###speakera70.###yeah.###yeah.###and i think that it's just 0 people have got *-1 to be aware.###unfortunately, there are a lot of people that *t*-1 just don't care###and they don't want *-1 to think about it.###speakerb71.###yeah,###that's true.###speakera72.	why	no	why didn't you do something *t*-1	...what is a reason...	...what is every reason...	...what is the reason...	
138699:15	which *t*-1 is why people are talking about *t*-2,	###yes.###so we live in a society *ich*-2, though, where everyone if you ask them on polls, will, uh, say that they think that everyone has a right to health care *t*-1.###speakerb19.###uh-huh.###speakera20.###and yet, i don't think 0 we've ever quite decided who *t*-1's really supposed *-2 to pay for it.###speakerb21.###well, that's the thing, you know,###uh, unfortunately the ones that *t*-1 currently pay and pay the premiums for health insurance are, are paying for the people that *t*-2 don't have health insurance.###speakera22.	why	no	why people are talking about *t*-2	...what is a reason...	...what is every reason...	...what is the reason...	
28051:40	you know, the technicians work the eight to five job and know when they're going *-1 to be there *t*-2.	###and,###speakerb31.###so it was you and the kid###and your work schedule is.###speakera32.###yeah.###speakerb33.###well that's the thing, see, you know,###maybe if you get along###for example if you'd been a technician instead of an engineer.	when	no	when they're going *-1 to be there *t*-2	...what is a time...	...what is every time...	...what is the time...	
55650:18	so i'm very limited what i do *t*-1.	###well, i'm sorry.###speakerb86.###that's okay.###speakera87.###uh, did you ever go to texins at all when you were working for t i *t*-1?###did you ever try that?###speakerb88.### i have a, i have a bad back,###speakera89.###speakerb90.	what	no	what i do *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
130494:17	i was just wondering what it was like *t*-1.	###have you ever been to, uh, like new mexico?###speakerb10.###uh, no, actually.###speakera11.###oh.###speakerb12.###why,###have you *?*?###speakera13.###i was curious.	what	no	what it was like *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
155873:40	and my instructor thrives on that because he can just tell me what he wants *t*-1	###right.###speakera35.###and i work for my instructor###and i'm i'm not a typical student.### i'm, i'm older.### i'm, i'm in my thirties, okay.###speakerb36.###yeah.###speakera37.###and so i have a lot of job experience	what	no	what he wants *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
75191:67	and i guess 0 the answer, is, is, * stay flexible because nobody can predict what *t*-1's going *-2 to happen in twenty years.	###and it was really only, uh, acceptable if you were engaged and planning *-1 to get married *-2 in, in the relatively near future.###speakerb98.###uh-huh.###speakera99.###and i certainly know from *-1 talking to my stepdaughter that girls in high school were under a whole lot more pressure nowadays.###speakerb100.###oh, yeah.###it's kind of scary when i think of what *t*-2 will happen in twenty years, you know, when i have kids and they're grown *t*-3 and, uh, just kind of some of the changes that *t*-1 will happen even more *t*-4###so.###speakera101.	what	no	what *t*-1's going *-2 to happen in twenty years	...what is a thing...	...what is every thing...	...what is the thing...	
75114:30	uh, and they still didn't even know what *t*-1 caused it or anything.	###i was just thinking, though, about 0 a, a huge social change in the last ten years is aids.###speakerb64.###yeah.###speakera65.###it was just beginning *-1 to be recognized and noticed *-2 ten years ago.### i, i know that because i was writing a paper about it.###speakerb66.###uh-huh.###speakera67.###i was writing a, a journal article.	what	no	what *t*-1 caused it	...what is a thing...	...what is every thing...	...what is the thing...	
58551:19	i can't even remember what the recipe's name is *t*-1 anymore,	###oh yeah,### what's, what is that *t*-1,###saint jack or something.###speakerb47.###yeah, uh.###speakera48.###scallops saint something,###or, yeah, mumblex.###speakerb49.###yeah,	what	no	what the recipe's name is *t*-1 anymore	...what is a thing...	...what is every thing...	...what is the thing...	
31253:16	and she told me what she had requested *t*-1.	###mine didn't, did not fall into the gifted category.###speakera70.###oh, * don't say that.###speakerb71.###nope.###and i would never had said so either.###uh, but, uh, they managed *-1 to get through, although not always with flying colors.###uh, in fact, one of the incidents 0 i was thinking of *t*-1 that my son had *t*-2. uh, he was struggling with senior english###and i had a meeting with the, uh, vice principal and the english instructor,###and, uh, she showed me a paper that he had just handed *t*-1 in.	what	no	what she had requested *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
74554:11	i know what you're saying *t*-1 there,	### like, like you said, our rooms are too s-, the bedrooms are too small,###the living room and kitchen are huge,###speakerb42.###right.###speakera43.###but the bedrooms are too small.###where you've got *-1 to leave the furniture just one certain way *t*-2, you can't rearrange it at all.###speakerb44.###right,###there's they, uh,	what	no	what you're saying *t*-1 there	...what is a thing...	...what is every thing...	...what is the thing...	
164413:11	you know what i mean *t*-1?	### you, you go out of your way *-1 to try real hard *-2 to make it perfect.###speakerb44.###right.###speakera45.###but, i think 0 you have *-1 to accept some of the errors.###i think that murder itself would decrease significantly if, if there was a credible punishment, uh, for murderers.###speakerb46.###um, yeah,###i don't know if it would *?* or not though.### i, i don't think 0 it's a, so much of a deterrent as, as it is a, a good, uh, a good way for vengeance, you know, for the relatives and, and family members,	what	no	what i mean *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
132169:36	well, i, uh, i understand what you're saying *t*-1,	###speakera3.###uh-huh.###speakerb4.###and he talked about canada's system###and it appears *-1 to work fine for the normal colds and things like that,###but the expensive stuff, heart, uh, operations and things, they have a managed scarcity.###and they said that in canada, there were as many heart, uh, trauma centers as there is *?* in san francisco.###so in one city of, in america, there's as many, uh, hospitals that *t*-1 are equipped *-2 to do hosp-, uh, heart operations as in the entire area of canada,###and that's kind of spooky.###speakera5.	what	no	what you're saying *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
