TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Question	AResponse	AllResponse	TheResponse	punct
162880:43	and then you have *-1 to give a reason *ich*-2 to the court why you can't serve *t*-3.	###but they're really looking for someone who *t*-1 will pretty much fulfill the lawyers' desires.###you know, the,###because you get up### and, and they ask you a few questions,###both sides do,###and then you, you're either challenged *-2 which *t*-1 is, you know,###each attorney can use that as much as they like *?*###or, i think 0 it's a limit now,###they probably have a limit now,###but, they pretty much go through that,	why	yes	why you can't serve *t*-3	...what is a reason...	...what is every reason...	...what is the reason...	
134735:28	so you never know what, what *t*-1 may occur,	###speakerb42.###oh, yeah,###yeah.###speakera43.###any of that stuff from the jetsons, from that cartoon, that you would never imagine 0 *t*-1 would come, become possible,###and now you, we have a lot of those,###so,###speakerb44.###uh-huh.###speakera45.	what	yes	what, what *t*-1 may occur	...what is a thing...	...what is every thing...	...what is the thing...	
78582:68	like, uh, like to me, i don't, i didn't know what *t*-1 would have been wrong with,	###speakera49.###speakerb50.###uh-huh.###speakera51.###if they could make it more, oh, easier * to find out, you know, what *t*-1's going on.###do you know what i mean *t*-1?###speakerb52.###yeah,###yeah.###speakera53.	what	yes	what *t*-1 would have been wrong with	...what is a thing...	...what is every thing...	...what is the thing...	
61922:110	and and it puts me right up-to-date what i'm, what i have *-1 to do *t*-2, what i have *-3 to ship *t*-4, what i should be expecting *t*-5 to be returned *-7.	###speakera89.###uh-huh.###speakerb90.###and they're dated.###so i have *-1 to keep up with them, uh,### and and it *exp*-1's very handy * doing it on the computer.###speakera91.###yeah.###speakerb92.###i just run a printout every week	what	yes	what i should be expecting *t*-5 to be returned *-7	...what is a thing...	...what is every thing...	...what is the thing...	
44662:92	i, i think, uh, 0 in a way we're able *-2 to read each other pretty well because, uh, she knows when i'm upset *t*-1 and i know when she's not feeling good *t*-3 too.	###speakera57.###speakerb58.###i mean she really could pick up on my mood uh, the way 0 i walked in the door *t*-1.###speakera59.###yeah,###yeah.###speakerb60.###it was, uh, uncanny.###speakera61.###huh.	when	no	when i'm upset *t*-1	...what is a time...	...what is every time...	...what is the time...	
105619:43	and i, you know, i don't know why they both made him do that *t*-1 since it was so close together.	###speakerb88.###he took one for, for, uh, wal-mart for job hiring###speakera89.###uh-huh.###speakerb90.###and then sam's called him### and, and he took another one###speakera91.###right.###speakerb92.	why	no	why they both made him do that *t*-1	...what is a reason...	...what is every reason...	...what is the reason...	
173390:24	you would like *-1 to know what they're doing *t*-2 right.	###speakera37.###and it's a very wealthy community.###uh, not that i am *?*###but other people seem, *-1 to be *?*###speakerb38.###speakera39.###and i would love *-1 to know why###but i mean they do.###they have,###speakerb40.	what	no	what they're doing *t*-2	...what is a thing...	...what is every thing...	...what is the thing...	
78577:13	do you know what i mean *t*-1?	###well. uh-huh.###speakera47.###so that's what they need *t*-1,###well, it, uh, they said something 0 *t*-2 to improve voting.###speakerb48.###speakera49.###speakerb50.###uh-huh.###speakera51.###if they could make it more, oh, easier * to find out, you know, what *t*-1's going on.	what	no	what i mean *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
55501:37	and no one is staring at anybody else or worrying about what anything else is doing *t*-1.	###speakerb24.###and i, my bathing suit's just one piece,###so there's no big deal all the way around,###but i don't have *-1 to be conscious of what i'm doing *t*-2 or how i'm doing it *t*-3.###speakera25.###uh-huh.###speakerb26.###and it's, uh, oh, it's just, i don't know, it's, it's a total free relaxation.###because, hey, you can do what you want *t*-1.###you're a female,	what	no	what anything else is doing *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
106458:28	as long as the hardware store told me what * to buy *t*-1, then i could do it.	###speakera81.###well, that's easy enough.###speakerb82.###so, there's a whole bunch of people.###speakera83.###um.###speakerb84.###so now i feel like if i ever buy a house, i can probably paint, if nothing else.###speakera85.###i think 0 i could probably do it uh,	what	no	what * to buy *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
