TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Question	AResponse	AllResponse	TheResponse	punct
9726:25	but the imagination of, * look what we can do *t*-1	###i think 0 some shows, some,###star trek, i,###for the imagination of it all.###the idea, i, i think 0 that's one of the things *ich*-2 0 i like *t*-1 about star trek.###speakerb78.###uh-huh.###speakera79.###and is, is the,###even in for kids * watching some of it can be a little violent sometimes and stuff.###i don't let my little ones watch it,	what	yes	what we can do *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
173417:34	it *exp*-2's hard * to explain to them why you can't *?* *t*-1.	###speakera45.###speakerb46.###speakera47.###i mean, we do it to a point###but uh, not to where she feels different *t*-1,###speakerb48.###yeah.###speakera49.###but some of them are very rich###speakerb50.	why	yes	why you can't *?* *t*-1	...what is a reason...	...what is every reason...	...what is the reason...	
58968:49	or either they'll have a computer at home *rnr*-2 and in the hospital *rnr*-2 where you can just, you know, just continue right on with your work *t*-1.	###i think 0 it's going *-1 to,### in, like in the future, i think 0 *t*-2 all women are going *-1 to work.###speakerb6.###yeah.###speakera7.###i mean, they may let you off for a day or two *-1 to have your baby,###but that will be it,###speakerb8.###yeah.###speakera9.	where	yes	where you can just, you know, just continue right on with your work *t*-1	...what is a place...	...what is every place...	...what is the place...	
59082:52	and, if i'd of probably had three or four children, i don't see how *t*-2 we could have made it, you know, without me working *t*-1.	###speakera47.###and this book is a little bitty skinny book.###speakerb48.###yeah.###speakera49.###i said my goodness, what is it, lined *-1 in gold, you know, uh.###speakerb50.###yeah.###speakera51.###but it is, it's getting worse,	how	yes	how *t*-2 we could have made it, you know, without me working *t*-1	...what is a way...	...what is every way...	...what is the way...	
127857:21	well, i don't see how he couldn't be, *?* *t*-1 you know.	###we don't have that station either,###so, uh, i haven't been able *-1 to catch any of that,###but just what little we caught *t*-1 on the news.###speakera107.###it's just as wild as any soap opera, from what i hear *t*-1 on the news.###speakerb108.###oh, i know it.###speakera109.###and i think 0 he's guilty as the devil.###speakerb110.	how	yes	how he couldn't be, *?* *t*-1	...what is a way...	...what is every way...	...what is the way...	
100193:19	i just don't understand why they, so much want *-1 to just stay in that building *t*-2.	###but there's nobody there.###speakera83.###not as independence.###speakerb84.###don't you want *-1 to be close to me?. i mean, you know be with other people.###speakera85.###speakerb86.###speakera87.###yeah.###speakerb88.	why	no	why they, so much want *-1 to just stay in that building *t*-2	...what is a reason...	...what is every reason...	...what is the reason...	
127981:56	and i do, uh, twenty, uh, leg lifters *ich*-2 on each side. you know when you're p-, laying on the floor *t*-1.	###uh-huh.###speakera19.###and i do, uh, ten, uh, right and left, uh, trunk twisters.###speakerb20.###uh-huh.###speakera21.###and i do, uh, about sixty, uh, bicycle, type, uh, leg thrust type things.###speakerb22.###uh-huh.###speakera23.	when	no	. you know when you're p-, laying on the floor *t*-1	...what is a time...	...what is every time...	...what is the time...	
109291:66	but the trucks that *t*-1 were supposed * to do it, there's been some problems with *t*-4 from what i've read *t*-3 in, you know, the mail that we get *t*-2	###yeah,###i,###it seems like ever since we've moved here we've been hearing that, you know it's coming in a couple of months,###speakera35.###yeah,###and, i think 0 it's been delayed *-1.###speakerb36.###but.###speakera37.###i think 0 it was originally scheduled *-1 for february,	what	no	what i've read *t*-3 in, you know, the mail that we get *t*-2	...what is a thing...	...what is every thing...	...what is the thing...	
54340:11	he knew what *t*-1 was going *-2 to happen, more than any of us.	###an ounce of hind sight is worth, whatever.###speakera62.###yeah.###speakerb63.### th-, they, i don't know, they, it, schwartz-, schwartzkopf knew what *t*-1 had *-2 to be done *-3###and it *exp*-1's too bad that he just didn't have the ability * just to do it, to you know, the, uh, the go ahead * to do it.###speakera64.###yeah.###speakerb65.###because he had the fu-,	what	no	what *t*-1 was going *-2 to happen	...what is a thing...	...what is every thing...	...what is the thing...	
90924:61	i, i think 0 the bad part is that most parents or kids don't know what * to look for *t*-1.	###and i don't, i think 0 because it costs less, the kid doesn't take it quite as serious, you know,### they're not, th-,### it, it's the minimal cost.###but i think 0 you can get a good education at public or private###but i think 0 you can also get a bad education at public or private, you know,###i###speakerb58.###yeah.###speakera59.### you have *-1 to really, you have *-2 to look around at the school.	what	no	what * to look for *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
163754:11	i know what *t*-1's hot down here with me,	###yeah,### it's really, it's a hard balance.### it, it definitely is *?*.###even not for government,###even just, say, for a small business.###uh, i know some,###speakera1.###type of music is hot down in texas?###speakerb2.###uh, well, i don't know exactly what *t*-1's hot down in texas.	what	no	what *t*-1's hot down here with me	...what is a thing...	...what is every thing...	...what is the thing...	
