TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Question	AResponse	AllResponse	TheResponse	punct
109985:14	i can see where that would definitely hinder the problem *t*-1,	###speakerb52.###and they realize 0 there's a need for that,###and, um, i don't know,###i found 0 when i did do some work *t*-1 when my son was young *t*-2, it was like contract work,###and it wasn't where i had *-1 to be there every day *t*-2,###but, i mean, we were going to the doctor once a week,###so, i don't know how you could have a full time job and ever have any vacation time 0 * to do anything besides * go to the doctor *t*-1 *t*-2.###speakera53.###yeah,###yeah,	where	yes	where that would definitely hinder the problem *t*-1	...what is a place...	...what is every place...	...what is the place...	
108116:24	you know, it's funny how you can just get in a mode where you only watch certain shows *t*-1 *t*-2	###uh, major dad.###speakera5.###oh, you like that one?###speakerb6.### i, i love it,###i think 0 it promotes good family values,###and it's funny.###speakera7.###uh-huh.###uh, i've never really watched that one.	how	yes	how you can just get in a mode where you only watch certain shows *t*-1 *t*-2	...what is a way...	...what is every way...	...what is the way...	
103191:24	but, uh, who *t*-1 knows what the future will hold *t*-2. uh, as far as energy goes,	###speakera61.###yes.###speakerb62.###it's just 0 we can't control it.###right now it *exp*-1 takes more energy *ich*-2 * to cause fusion to occur then you get *?* out,###so, it isn't *?*,###not at all,###and you can't control it unless you gotten a huge electromagnetic field,###so that's not going *-1 to work.###at least not now.	what	yes	what the future will hold *t*-2. uh, as far as energy goes	...what is a thing...	...what is every thing...	...what is the thing...	
9174:42	apart from that, i, i don't know what we can do *t*-1 as individuals.	###yeah.###speakera33.###uh, what do you think 0 individuals could do *t*-1, or society could do *t*-1 * to alleviate this problem.###speakerb34.###uh, i don't, uh, i don't know whether we could do a whole lot as individuals.###uh, maybe just take good care of our cars, and make * sure 0 we keep our pollution devices clean and all that sort of thing.###um,###speakera35.###right.###speakerb36.	what	yes	what we can do *t*-1 as individuals	...what is a thing...	...what is every thing...	...what is the thing...	
122783:106	i've, i've often pictured, uh, in my mind, you know, what it *exp*-2 would be like *t*-1 * to just, what would you find *t*-3 if you just kept on * going, kept on *-4 going?	###yeah,### there's, there's a lot of, a lot of little things that *t*-1 have come up.###i know 0 maybe some of the big things that, uh, uh,###concentrated foods for one maybe### i don-, uh, i don't know###speakerb38.###that's right.###that's right.###speakera39.###it's also just	what	yes	what it *exp*-2 would be like *t*-1 * to just, what would you find *t*-3 if you just kept on * going, kept on *-4 going?	...what is a thing...	...what is every thing...	...what is the thing...	
61547:36	you know, it's like we can't understand why he kept *-1 wanting *-1 to get out *t*-2, you know,	###speakera151.###so i can't,### i, i, i just have not,###i don't understand, you know, because it's, like, he's got a good home, you know,###he's got,###i mean, we have two kids, you know, that *t*-1 just love him a lot,###speakerb152.###yeah,###yeah.###speakera153.	why	no	why he kept *-1 wanting *-1 to get out *t*-2	...what is a reason...	...what is every reason...	...what is the reason...	
62138:16	and maybe this is why this has died out *t*-1.	###speakerb64.###speakera65.###they could buy their way out.###speakerb66.###yeah,###i mean, there would be loopholes just like there is *?* in anything else.###speakera67.###right,###you know, they, they'd figure a way around that one in a heartbeat.###but,, i'm wondering if there's another issue here,	why	no	why this has died out *t*-1	...what is a reason...	...what is every reason...	...what is the reason...	
108534:43	but and, of course, you get a lot from when you're growing up *t*-1.	###um, i have a pillsbury cookbook 0 i got *t*-2 when i was married *-1 *t*-3,###but, it's kind of the bible of cooking for me.###speakerb12.###uh-huh,###uh-huh.###speakera13.###then i have some from like church that *t*-1 are more family recipes that *t*-2 are more useful. you know, budget cookbooks,###speakerb14.###uh-huh.###speakera15.	when	no	when you're growing up *t*-1	...what is a time...	...what is every time...	...what is the time...	
160128:25	and, uh, i don't know what they do *t*-1 for those people.	###speakera51.###uh, * hearing a lo-,### there's always, they're always laying people off, which *t*-2 is another benefit that you can have *t*-1 other than salary is trade that off for security.###speakerb52.### is it, i mean, does it,###they must have pretty good severance, though, huh?###speakera53.###oh, i don't know,### we don't, we haven't been doing layoffs.###we've been doing, uh, down sizing with, uh, *-1 getting rid *-2 of extra layers of management.	what	no	what they do *t*-1 for those people	...what is a thing...	...what is every thing...	...what is the thing...	
165067:11	i know what they're learning *t*-1	###speakera43.###huh?###speakerb44.###why is that *t*-1?###speakera45.###why you asking *t*-1,###speakerb46.###speakera47.### you j-, they just don't,### i mean, i mean, i'm, i'm up there at my kids' school,	what	no	what they're learning *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
176285:67	and so, many times, at lunchtime, i would go over and visit the children and eat with them and see what they were doing *t*-1.	###and,###speakerb28.###i think 0 it's real important that you have a place that, first of all parents have a lot of input into *t*-1 and that they're always welcome and that they have a lot of activities where parents come in during the day *t*-2 and that at any time you can drop in.###and we had a really wonderful arrangement, uh,###i'm with the university actually###speakera29.###uh-huh.###speakerb30.###and they had a wonderful, uh, program that *t*-1 started at age three###and it was about a block away from the hospital where i work *t*-1.	what	no	what they were doing *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
23568:14	i'd forgotten what that's called *-1 *t*-2.	###yeah,###that's true,###that's true, too.###but, uh, you know, that whole biblical concept like that, that's true in a lot of our,###um, you know, the, the way 0 the whole judicial system and the government is based *-1 on that *t*-2.###it doesn't work on that,###but it's based *-1 out of that.### and, uh, so that, you know, that could work,###speakerb36.###yes,	what	no	what that's called *-1 *t*-2	...what is a thing...	...what is every thing...	...what is the thing...	
123174:32	i mean, you just really can't tell what *t*-1's going *-2 to happen.	###speakerb30.###oh, my gos-,###speakera31.###those big piece of something came *-1 flaming, falling out of the roof and landed on the field###so there's this big fire on the field###and they were dumping the gatorade bucket and everything.###speakerb32.###oh, i can't believe that.###speakera33.###it was funn-,	what	no	what *t*-1's going *-2 to happen	...what is a thing...	...what is every thing...	...what is the thing...	
