TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Question	AResponse	AllResponse	TheResponse	punct
16096:37	well, it says, why would you, what you would have *t*-1 for a dinner party.	###bye-bye.###speakera1.### ok-, okay.###speakerb2.### what, what is,###do you have a favorite recipe?###speakera3.###um, yeah,###that's what it said * to discuss *t*-1 some###maybe a recipe,	what	yes	why would you, what you would have *t*-1 for a dinner party	...what is a thing...	...what is every thing...	...what is the thing...	
67896:19	but we could never say what we would do *t*-1 if we're not in the circumstance.	###it's a deterrent to crime,###they shouldn't catch themselves in that circumstance anyway.###but * to be the actual one of the ones that *t*-1 decide, that would be tougher for me.###speakerb38.###yes,###very true.### i, uh, i agree with you there.###uh, uh-huh.###speakera39.###i think 0 i'd probably do it	what	yes	what we would do *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
41166:15	but, you know what you can do *t*-1?	###i don't think 0 we'd need a whole church,###but, um, the problem is 0 we are all really scattered, around.###speakera97.###speakerb98.###there isn't any one place where most of us live *t*-1,###so if we ever had a reunion, we'd kind of all have *-1 to stay in a hotel.###i mean, you know, there would be one person who *t*-1 lived there that *t*-2 would have a house,###but they couldn't put everybody up.###so it, i think 0 it would get kind of expensive.###speakera99.	what	yes	what you can do *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
173775:43	it goes back to, you know, what right, what can society impose *t*-1 on people.	### a-, a-, as soon as we wind up, uh, uh, you know, for,###well if we can just destroy the market by * destroying the demand### but, but people want *-1 to, get, get stoned###speakerb46.###yeah,###yeah.###speakera47.###and i, i don't see that,###speakerb48.###well, yeah.	what	yes	what right, what can society impose *t*-1 on people	...what is a thing...	...what is every thing...	...what is the thing...	
116443:21	but i really don't know what they can do *t*-1.	###my oldest is his first year in high school###so we have all this 0 *-1 to, to look forward to *t*-2,###and it *exp*-1 is really frightening, uh, * to think that you can't even send them to school in safety.###i mean, certainly, you know, you can't just turn them loose in the middle of dallas,###but, you know, when you can't even, send them on their normal activities in safety *t*-1, it, it's really frightening.###speakera23.###that's true.###speakerb24.###and, uh, i really, you know,###they're coming down on the principal,	what	yes	what they can do *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
81032:16	i don't see why they have *-1 to do that *t*-2,	###yeah.###speakera53.###the part where they're shooting mercy *t*-1.###speakerb54.###i don't like that.###speakera55.### that, oh, that's horrible,###that is horrible###and their, their, the language on that's filthy.###speakerb56.	why	no	why they have *-1 to do that *t*-2	...what is a reason...	...what is every reason...	...what is the reason...	
51227:16	i don't understand why encovilla got released *-1 *t*-2.	###speakerb23.###well, that's true.###i think, 0 i've kind of become a rangers fan over the last eleven years since i've been here.###uh, they've led the american league in batting, fielding and pitching,###but they've never been able *-1 to do more than one of those in any, any given year.###so.###speakera24.###yes.###i think 0 they're in for a odd year this year,###actually, um, they, um,	why	no	why encovilla got released *-1 *t*-2	...what is a reason...	...what is every reason...	...what is the reason...	
110239:20	but if you'll remember when the teachers had *-1 to take the t cat *t*-3 they were talking about *-2 drug testing us	###no,###i'm pretty opinionated about that and many other things as you well know.###i agree with it.### i think, uh, i think 0 a company should be able *-1 to test at, any, any employee any time 0 they see *t*-2 fit.###speakerb6.###well,###speakera7.### i just, i just don't think 0 there's a place in our environment, you know in the work force for drugs, or alcohol either.###speakerb8.###well, i don't believe in drugs or alcohol,	when	no	when the teachers had *-1 to take the t cat *t*-3	...what is a time...	...what is every time...	...what is the time...	
78858:13	do you know what i mean *t*-1?	###right,###speakera155.###but, if him and his wife weren't getting along,###speakerb156.###but otherwise.###speakera157.###speakerb158.###uh-huh.###speakera159.###i mean, what is, what effect *ich*-2 does that have *t*-1 on him running for president.	what	no	what i mean *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
62425:19	they probably didn't know what they were talking about *t*-1.	###but the problem is that you can't put the type of card that we need *t*-1 to put in it, in it. and even though they told us in advance that you could *?*,###speakera45.###oh, i see.###speakerb46.###they told us 0 there would be no problem because, you know, the salesman just doesn't really know.###speakera47.###i see.###speakerb48.###speakera49.###in some ways it has more *-2 to do with the people who *t*-1 sold it.	what	no	what they were talking about *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
