TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Question	AResponse	AllResponse	TheResponse	punct
94111:48	i'm sure 0 location's really important as far as * figuring out where one ought *-2 to be *t*-1.	###speakerb18.###uh-huh.###speakera19.###but, uh, this one has been well organized###and in fact it used *-1 to be at lake brownwood,###and now it's lake texoma, because that's more central location 0 for people from oklahoma and texas to come to *t*-1.###speakerb20.###uh-huh.###speakera21.###speakerb22.	where	yes	where one ought *-2 to be *t*-1	...what is a place...	...what is every place...	...what is the place...	
5797:11	i go why you still there *t*-1 if you can earn a lot more money, once you've get your, your, your masters.	###speakerb98.###yeah.###speakera99.###that's why you want *-1 to join *t*-2.###speakerb100.###uh-huh.###speakera101.###but, uh, this guy,###i mean you can earn a lot more money###so you say,	why	yes	why you still there *t*-1 if you can earn a lot more money, once you've get your, your, your masters	...what is a reason...	...what is every reason...	...what is the reason...	
79010:88	but recently, uh, the refuse department has, has, uh, is working on *-1 getting a system *ich*-3 going where we will actually have, uh, a bend that we put things in *t*-2 for * recycling these other things *t*-4	###speakera23.###they had some bends *ich*-1, around that we could find and put them in *t*-2###speakerb24.###uh-huh.###speakera25.###but not all that many,###it wasn't very well advertised###speakerb26.###uh-huh.###speakera27.	where	yes	where we will actually have, uh, a bend that we put things in *t*-2 for * recycling these other things *t*-4	...what is a place...	...what is every place...	...what is the place...	
31591:37	i don't, i don't know why it *exp*-1 would be, you know, uh, bad * to test just every- *t*-2,	###i'm not sure *ich*-4, though, when we talk about what rules, if any *t*-3, that we should say, well, certain segments should not have *-1 to be tested *-2.###i really don't see why,###speakera97.###personally, i think 0 that's what i was about *-1 to say *t*-2 is that everyone needs *-3 to be tested *-4.###speakerb98.###and,###yeah.###speakera99.###speakerb100.###yeah.	why	yes	why it *exp*-1 would be, you know, uh, bad * to test just every- *t*-2	...what is a reason...	...what is every reason...	...what is the reason...	
4331:10	is that why you like aerobics classes *t*-1, because you're not, sort of, someone else is doing the counting for you, so, it makes it less of a chore?	###uh-huh.###speakerb30.### or, but, but i do try and, um, i do try and regulate how much exercise i get *t*-1 a week.###speakera31.###uh-huh,###uh-huh.###speakerb32.###speakera33.###yeah,###yeah.	why	no	why you like aerobics classes *t*-1, because you're not, sort of, someone else is doing the counting for you, so, it makes it less of a chore	...what is a reason...	...what is every reason...	...what is the reason...	
78875:13	do you know what i'm saying *t*-1?	###speakerb162.###that's right.###speakera163.###speakerb164.###i think 0 that's, that's having a big effect on how poorly that the country is being run *-1 *t*-5, is that, um, the, the election, the people that *t*-2 want *-3 to get elected *-4 are turning it into a popularity contest by *-6 advertising the things that, you know, that *t*-7 really don't have anything 0 *t*-8 to do with how well they do the job *t*-9.###speakera165.###right.###speakerb166.###but see they're trying *-1 to find an excuse *-2 not to deal with what, you know, the issues that people really want *-3 to know about *t*-4 *t*-6, because on those issues you have *-5 to say yes or no.###and if they don't say yes or no, then maybe somebody *ich*-1 will vote for them that *t*-2 wouldn't have *?* if they had come down on the wrong side.	what	no	what i'm saying *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
177034:133	uh, and th-, and the problems that, that *t*-3 has come that *t*-4 has come from this decision that that jury came to *t*-1 after all of us witnessed what we did *t*-2 with the video tape beating. uh just makes you wonder i guess whether or not they,	###speakera3.###so i, i really don't think 0 it, they can really do much of anything *-1 to change it.###what do you think *t*-1?.###speakerb4.###uh, i, i don't think so.###possibly in the jury selection would be the only,###speakera5.###speakerb6.###just for example, what we're seeing *t*-1 in california i guess *t*-2.###it makes 0 you wonder, uh, had the jury been a different group of people what *t*-1 would have happened with that outcome.	what	no	what we did *t*-2	...what is a thing...	...what is every thing...	...what is the thing...	
107462:64	uh, and, and i'm not sure how you go about *-1 really finding out what people are really like *t*-2 before you vote for them *t*-3.	###oh, that's all right.###speakerb16.###um, one thing that i-, that i think probably one of the reasons that people don't vote more *t*-1 is because they don't know the candidates.###and i think sometimes, you know,###that's one thing that i have learned *t*-1 in *-2 w-, working in elections and things is, you know, 0 sometimes even when you work for someone *t*-3 you don't really know what they're like *t*-4.###i know 0 there's been a couple of people that we voted for *t*-1 and worked for###and when they got in office *t*-1 it was just a disaster.###speakera17.###well,###speakerb18.	what	no	what people are really like *t*-2 before you vote for them	...what is a thing...	...what is every thing...	...what is the thing...	
6499:32	the question was, um, what, what is your opinion of youth, uh, spending a year or two in, in public service *t*-1.	### but, but then it's probably that way anywhere, you know,###that's,###speakera105.###oh, i'm sure 0 personalities always come into play.###speakerb106.###uh-huh.###speakera107.###uh, just in this size of organization,###speakera1.###okay.	what	no	what, what is your opinion of youth, uh, spending a year or two in, in public service *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
48466:38	but you do have *-1 to research that, find out what *t*-2 works for your system.	###speakerb16.###exactly,###and there are, lots of them on the market.###speakera17.###yeah,###basically payroll.###speakerb18.###speakera19.###yeah.###speakerb20.	what	no	what *t*-2 works for your system	...what is a thing...	...what is every thing...	...what is the thing...	
