TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Question	AResponse	AllResponse	TheResponse	punct
7480:34	they're real liberal now and to where probably fifty or a hundred years ago, um, the democrat party being liberal like they are *?* now, you know, would never be thought of *-2 *t*-1,	###i always thought### it was###back when anderson was running *t*-1, i was hoping that things would change and he'd actually get elected *-2 and party politics would start *-3 going down the tubes,###but, um, that didn't work.###speakera12.###yeah.###speakerb13.###speakera14.###yeah,###there's, uh, a lot of extremes on the parties, too, with the you know, the real, uh, far side of the democrats	where	yes	where probably fifty or a hundred years ago, um, the democrat party being liberal like they are *?* now, you know, would never be thought of *-2 *t*-1	...what is a place...	...what is every place...	...what is the place...	
33165:48	and before i had my second child we sort of had a contest *ich*-1 going where you know he would cook and then the next time it would be my turn and i'd try *-2 to outdo him *t*-4 and then he'd try *-3 to outdo me *t*-4	###yeah###that's what i wish 0 i had *t*-1###but in our family i am the one who who *t*-1 cooks###and i i really enjoy it###it's gotten a little more difficult with kids###but i really do enjoy cooking###and we um we have them over for dinner back and forth quite a lot###speakera67.###uh-huh###speakerb68.	where	yes	where you know he would cook and then the next time it would be my turn and i'd try *-2 to outdo him *t*-4 and then he'd try *-3 to outdo me *t*-4	...what is a place...	...what is every place...	...what is the place...	
122928:16	i'm not sure how you would ach-,	### our, our, our senate and congress and, and people that, that *t*-1 deal everyday and, and what's *t*-2 going *-3 to be done *-4 with those monies um, and don't really understand what that is *t*-5 or how a budget even works *t*-6.###speakera9.###yes.###speakerb10.###speakera11.###uh-huh.###speakerb12.###uh, we need *-1 to elect people that *t*-2 are more, uh,###or...###speakera13.	how	yes	how you would ach-	...what is a way...	...what is every way...	...what is the way...	
14679:13	they say, why can't we have the same things that these other people have *t*-1 *t*-2,	###speakerb34.###right.###speakera35.###and so, as, as,###and the people in the country don't want as much as the people in the city.###speakerb36.###uh-huh.###speakera37.###now what *t*-1 happens is 0 all those that *t*-2 don't have any money in the country move to the cities,###and they rush *-1 to get the same thing.	why	yes	why can't we have the same things that these other people have *t*-1 *t*-2	...what is a reason...	...what is every reason...	...what is the reason...	
162865:44	and i also think, just like you were talking about *ich*-1 before, why you were chosen *-3 to be on a jury *t*-2 that, uh, the, just, the process of * picking jurors is not always objective.	###the case was reopened *-1###and he was exonerated *-1.###speakera15.###well, i mean, i think that there are many cases in our judicial system where justice is not served *-2 *t*-1.###speakerb16.###yeah,###many laws, but little justice.###speakera17.###say,###but, uh,	why	no	why you were chosen *-3 to be on a jury *t*-2	...what is a reason...	...what is every reason...	...what is the reason...	
177081:16	uh, i understand why they were upset *-2 by the verdict *t*-3 just because even those of us that *t*-1 aren't black or, uh, don't live there or whatever, we all saw the same thing on the, on the tape	###that's right.###speakera23.###with everybody with that mind set. they, they're they're going *-1 to, that whole area is going *-2 to be turned *-3 into residential ghetto, you know,###speakerb24.###they're only going *-1 to suffer.###speakera25.###and you might even be able *-1 to, to use it for, for a bombing test site, you know.###speakerb26.### t-, they're only going *-1 to suffer.### they, they've defeated themselves with, with their looting and violence.	why	no	why they were upset *-2 by the verdict *t*-3	...what is a reason...	...what is every reason...	...what is the reason...	
80440:33	if it's really old, you don't know what it's put on with *t*-1.	###um, i tried *-1 to get wallpaper off once twenty years ago, oh, with a just a scraper and wet sponge###and it took forever.###i would not recommend that method.###speakerb50.###okay.###speakera51.###uh, if if you can rent a steamer, if it's modern wallpaper it should come off without too much trouble.###speakerb52.###well that's something that, that *'s worthwhile * checking into *t*-1 then.'cause i,###speakera53.	what	no	what it's put on with *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
41231:66	what you can do *t*-1 is, you can write different places, the chamber of commerce, tell them what you're interested in *t*-2.	###it would run into a lot of money.###so,###speakera125.###yeah.###but, they had,###that was, you know,###that,###speakerb126.###that sounds like fun.###speakera127.	what	no	what you're interested in *t*-2	...what is a thing...	...what is every thing...	...what is the thing...	
164920:140	uh, i always think 0 it's humorous when, when the president gives the state of the union and, uh, for thirty minutes and then for an hour and a half you hear different commentators explaining what you just heard *t*-1 *t*-2.	###uh-huh.### which, uh, which approach do you find *t*-1 to be, uh, more useful, the,###the interpretive approach or the straight reporting?###speakera24.###oh, i like the straight reporting.###uh, and then i, i hope *-1 to be able *-2 to form my own opinion of it.### it's, it *exp*-1's nice * to hear someone's interpretation of it###speakerb25.###uh-huh.###speakera26.	what	no	what you just heard *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
174491:16	i don't know what you think *t*-1 about all that.	###the, uh, uh,###i used *-1 to think when i was, when i was younger *t*-2 that, uh, by this time we'd have lots more in stuff in space than we do now.###speakera21.###uh-huh,###uh-huh.###speakerb22.###uh, frustrating at times.###speakera23.###uh-huh.###speakerb24.	what	no	what you think *t*-1 about all that	...what is a thing...	...what is every thing...	...what is the thing...	
53460:35	so, it *exp*-1 will be interesting * to see what *t*-2 happens.	###and, uh. you know, they try *-1 to play public's opinion. which i think 0 *t*-2 is awful, because it usually works.###speakera31.###uh-huh,###true.###i'll bet 0 that was the case of the, the war in the middle east.###speakerb32.###yes,###uh-huh.###that,###uh, l-, lots of new, uh, newsmen were created *-1 during that	what	no	what *t*-2 happens	...what is a thing...	...what is every thing...	...what is the thing...	
158764:100	well, do you think that, uh, we should ignore it and just allowed him to go ahead and, uh, you know, move on into kuwait and see what *t*-1 happens?	###i mean i'm not, not saying at all that hussein wasn't quite willing *-1 to ge-, enter that fight.###speakerb46.###right.###speakera47.###but, you know, i think, i think that, that, um, we chose *-2 to have our official feelings hurt *-1.###speakerb48.###uh-huh.###speakera49.###where a lot w-,###speakerb50.	what	no	what *t*-1 happens	...what is a thing...	...what is every thing...	...what is the thing...	
112329:21	and we still don't know what he does *t*-1.	###but, uh, although i have brought my boys into *-2 to see where i work *t*-1, it's not that easy,###and it's, it's certainly not at all common,###and they, they just don't really have that same idea,###speakera67.###right.###speakerb68.###so th-, they, uh,### it's a, it's a whole different, uh, kind of thing there then, uh,###speakera69.###my husband has taken us to work with him,	what	no	what he does *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
106196:105	well that's, yeah, that's right that the children have some responsibility *ich*-1 *ich*-3, too, to their parents and such, * to help * decide what *t*-2's the right thing.	###speakera51.###yes,###well, i think 0 sometimes when people get *-1 to be a certain age *t*-2, other people have *-3 to kind of help them make decisions.###it *exp*-1 sure wouldn't have been granny's decision * to leave us and go back to a nursing home,###but she's accepted it real well now###speakerb52.###right###speakera53.###so.###speakerb54.	what	no	what *t*-2's the right thing	...what is a thing...	...what is every thing...	...what is the thing...	
136875:21	you're kind of like, what are you talking about *t*-1	###i don't watch very much of it at all, e-, to, to the extent that sometimes i feel almost embarrassed at work and stuff like that###yeah,###speakera107.###because they talk so much,###isn't that the,###speakerb108.###they talk about t v shows,###and i, huh, you know,###how can you watch that *t*-1, you know###speakera109.	what	no	what are you talking about *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
56723:24	i'm trying *-1 to think what they call *t*-2 their soup.	###speakera247.###i have never gone to a restaurant, and not just been so full,###it's unreal.###speakerb248.###really?###speakera249.###i mean, it's so good.###the seasoning they, it's just unreal.###speakerb250.###and don't they make a lot of, um,	what	no	what they call *t*-2 their soup	...what is a thing...	...what is every thing...	...what is the thing...	
70020:60	and i guess 0 i'm going *-1 to have *-2 to try that area sometime and see what it's like *t*-3.	###yeah.###their springs and summers are pretty mild, too.###it never gets real, real hot.###speakerb134.###uh-huh.###i'll have *-1 to try that out because i had heard that north carolina was sort of like that.###speakera135.###uh-huh.###speakerb136.###and, uh, i've just never really been in that region of the country	what	no	what it's like *t*-3	...what is a thing...	...what is every thing...	...what is the thing...	
