TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Question	AResponse	AllResponse	TheResponse	punct
30768:11	you know how they can make any of, any single one of them in a movie to be a super superstar of any sort *t*-1, you know,	###* chop them up,###exactly.###and,###speakerb20.###this is supposed *-1 to be the, the guy that *t*-2's, uh, replaces bruce lee or whatever or, or the next chuck norris type of guy.###speakera21.###yeah.###speakerb22.###speakera23.###or he's singular i guess, you know.	how	yes	how they can make any of, any single one of them in a movie to be a super superstar of any sort *t*-1	...what is a way...	...what is every way...	...what is the way...	
76188:40	and i'm not sure just, uh, how, how the school system could operate in a vacuum on it *t*-1.	###and, you know, we do check with other teachers,###and other teachers find the same things in this child.###speakerb16.###right.###speakera17.###and, you know, how do you tell your parent's, the parent, hey, * wake up, and smell the coffee *t*-1.###speakerb18.###right.###speakera19.###but, um, it, it is a problem,	how	yes	just, uh, how, how the school system could operate in a vacuum on it *t*-1	...what is a way...	...what is every way...	...what is the way...	
48301:22	um, you just never know when you might come into contact with one *t*-1.	### i, i'm, i'm not really sure,### i don't, personally i don't own a gun,###speakera27.###uh-huh.###speakerb28.###um, and i don't think 0 i probably ever would *?*, um, although i would like *-1 to know how *-2 to handle one *t*-3,### and i think 0 it's good that everyb-, and i think 0 everybody should learn how *-2 to handle one *t*-3.###speakera29.###uh-huh.###speakerb30.	when	yes	when you might come into contact with one *t*-1	...what is a time...	...what is every time...	...what is the time...	
95476:78	so i'm curious especially since t i --s a local, you know, employer is also already doing it, * seeing what they'll say *t*-1 about it especially since,	###and the city workers, uh, took them to court *-1 to protest, *-1 saying that it invaded their, i guess, first a-, the, the search and seizure amendment###speakera104.###uh-huh,###uh-huh.###speakerb105.###and it's still tied *-1 up in the legal channels.###they haven't ruled on whether they can test them or not.###speakera106.###huh.###speakerb107.	what	yes	what they'll say *t*-1 about it	...what is a thing...	...what is every thing...	...what is the thing...	
166306:29	but then, again, i'm not quite sure where the blame ought *-1 to be put *-1 *t*-2. uh, because the, the dropout rate is, in those areas, w-,	###i mean, somebody's getting, getting a good education because we, continue *-1 to employ people.###speakerb14.###right.###speakera15.###speakerb16.###speakera17.###but, uh, i don't, i don't understand the, uh, i don't understand, i guess 0 *t*-1, why the schools don-, seem *-2 to have such a high dropout rate in the big cities *t*-3.###speakerb18.###uh, well, i don't pretend *-1 to understand that either.###uh, but i'm not quite sure that it's the kind of thing that *t*-1 ought *-2 to be blamed *-3 on the schools.	where	yes	where the blame ought *-1 to be put *-1 *t*-2	...what is a place...	...what is every place...	...what is the place...	
73773:35	and, uh, and i can see why children do drop out *t*-1.	###speakera11.###yes.###speakerb12.###and the pressures on the children, uh, you know,###you hear this as an excuse,###but it *exp*-1's true 0 they are so much greater.###speakera13.### unreal, unreal by comparison.###speakerb14.###oh, i can not believe, uh, what they're doing *t*-1, uh, academically the demands on them	why	no	why children do drop out *t*-1	...what is a reason...	...what is every reason...	...what is the reason...	
111477:16	so that might be why i look for inexpensive places *t*-1 just because we're eating out probably five nights a week maybe.	###so he's a fan of, of dairy queen,### and, and we'll go even in town here at times, just as a, a change although i'm not that excited about it.###speakera39.###uh-huh.###speakerb40.###but we've eat, we eat out so much 0 it's gotten so i don't like *-2 to really eat any place###but yet i hate *-1 to cook food at home###speakera41.###oh.###speakerb42.	why	no	why i look for inexpensive places *t*-1	...what is a reason...	...what is every reason...	...what is the reason...	
106793:11	you know what i'm saying *t*-1?	###uh-huh,###same here.###uh-huh.###speakerb58.###and, uh, it, it works for me###but i can't see that it would work for probably the majority of people.###speakera59.###well, i could say 0 it's kind of,###you know, that's, that's good.### you ma-, you probably have a little extra than you have *-1 to have *?*, *-2 to,	what	no	what i'm saying *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
8060:71	and i said, okay, i want *-1 to see a curriculum guide, you know, so i'll know what i'm suppose *-2 to teach *t*-3	###teaching?.###speakerb126.###yeah.###speakera127.###oh, yes.###speakerb128.###or * working in the system.###speakera129.###yes,###when i first started *-1 teaching *t*-2, i remember 0 i went to my mumblex	what	no	what i'm suppose *-2 to teach *t*-3	...what is a thing...	...what is every thing...	...what is the thing...	
168908:41	i don't know how much the stuff actually, what they actually have *t*-1 in there	###oh, i don't know.###i had a little bit more time 0 *-1 to think about it *t*-2.###i was thinking of, like, uh,###i don't know,###i was ju-, started *-1 to think about all the big, you know, data bases 0 they have *t*-2 with all the information about you on them like the credit reports and all those, you know, demographics studies that they do *t*-4 that, *t*-5 um, you know, have, who *t*-6 knows, how much, you know, stuff about all the purchases that you've made *t*-7 and everything *t*-3 kept tract *-8 somewhere###speakerb4.###uh-huh,###uh-huh.###speakera5.###and i don't know,	what	no	how much the stuff actually, what they actually have *t*-1 in there	...what is a thing...	...what is every thing...	...what is the thing...	
