TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Question	AResponse	AllResponse	TheResponse	punct
48848:14	i can see where if a life was taken *-1 by accident or, uh, i don't know what you'd call it *t*-2, not premeditated or, i guess primarily by accident,, uh *t*-5, there may be cases where the death penalty is not called for *-3 *t*-4,	###speakera3.###speakerb4.###uh, uh, i tend *-1 to agree with you, uh, you know,###probably pretty similar views on it,###but that's, that's one of the things 0 i don't, don't understand *t*-1 is, is so much of the controversy###because, uh, you know, i, i do also, myself, believe in capital punishment, uh,###uh, you know, it, it *exp*-5 really irks me * to see so much effort put *-1 into * preventing someone being put *-2 to death by the state when they so callously and usually so, you know, without *-3 even thinking or without any concern, uh, you know, end somebody else's life, and in a lot of cases several people's lives *t*-6.###speakera5.###that's true. i guess 0 *t*-1,###well, there's, there's probably two or three different types of, of views as far as the controversy goes.	where	yes	where if a life was taken *-1 by accident or, uh, i don't know what you'd call it *t*-2, not premeditated or, i guess primarily by accident,, uh *t*-5, there may be cases where the death penalty is not called for *-3 *t*-4	...what is a place...	...what is every place...	...what is the place...	
62100:89	but it definitely would give a lot of the kids now that *t*-4 have everything *ich*-2 given *-1 to them that they want *t*-3 to see what it's like *t*-6 if you don't have all the money and can't have what you want *t*-5 when you want it *t*-7.	###speakerb48.###right.###yeah.###speakera49.###and, yes,###you're right,###i think 0 it's a sixties program.###i think 0 it was one of kennedy's hot points that he,###that was his big deal.###speakerb50.	what	yes	what it's like *t*-6 if you don't have all the money and can't have what you want *t*-5 when you want it *t*-7	...what is a thing...	...what is every thing...	...what is the thing...	
126717:42	so we, we often sit around and say, what movies should we rent *t*-1?	###that would be pretty good.###no,###i haven't seen that one.###speakera55.###that's a real warm movie.### it, it really just turned out nicely.###so i would recommend that if you have a chance.###speakerb56.###i'm in for it.###we rent a lot of movies	what	yes	what movies should we rent *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
24885:14	i can see where that wouldn't be very good for a, a kid *t*-1, you know,	###but if *-2 don't work with them as a parent, i think 0 *t*-1 you're putting your child at a big disadvantage.###speakerb36.###yeah,###and, you know, there's some kids that, you know, *t*-1 want *-2 to go *-3 learn,###but most of them just want *-1 to go *-2 play.###speakera37.###yeah,###well i could, i could see 0 if a kid doesn't have any encouragement if, t-, they're, you know, come from a broken home and their parents are more concerned about *-1 trying *-2 to work### and, or maybe they're unemployed###and they're mad at the world,	where	yes	where that wouldn't be very good for a, a kid *t*-1	...what is a place...	...what is every place...	...what is the place...	
16185:21	or even have you ever seen where they, they'll take a watermelon and just cut the top out of it and then hollow that out, and then put the fruit in the watermelon *t*-1	###speakerb28.###yes.###speakera29.###speakerb30.###right.###speakera31.###it stays nice and fresh.###speakerb32.###right,###that's true.	where	yes	where they, they'll take a watermelon and just cut the top out of it and then hollow that out, and then put the fruit in the watermelon *t*-1	...what is a place...	...what is every place...	...what is the place...	
137511:16	i don't know why i got stuck *-1 down here in texas now *t*-2.	###i imagine.###speakerb72.###yeah,###speakera73.###i would imagine 0 they are *?*.###speakerb74.###course, i, i guess 0 i'm partial to big tree country.###speakera75.###yeah.###speakerb76.	why	no	why i got stuck *-1 down here in texas now *t*-2	...what is a reason...	...what is every reason...	...what is the reason...	
24499:78	i'm, uh, i deal much better in research and books, and stuff like that which *t*-1 is why i'm going *-2 to enjoy the paralegal field a lot *t*-3.	###yeah.###speakerb158.###speakera159.###uh-huh.###speakerb160.###speakera161.###uh-huh.###speakerb162.###i,###it's just not for me.	why	no	why i'm going *-2 to enjoy the paralegal field a lot *t*-3	...what is a reason...	...what is every reason...	...what is the reason...	
38718:20	and, i don't know when i'm going *-1 to get to them all *t*-2.	###oh, uh-huh.###speakerb86.###so.###speakera87.###it's just, i was just thinking,### at, at rossa they tend *-1 to come out with a new book every couple of weeks just *-2 to help us deal with all the things that we have *-3 to deal with *t*-4.###speakerb88.###uh-huh.###speakera89.###so, i keep *-1 getting stacks of books 0 i need *-2 to read *t*-3,	when	no	when i'm going *-1 to get to them all *t*-2	...what is a time...	...what is every time...	...what is the time...	
142702:31	oh, oh, oh, oh, i know what you are talking about *t*-1.	###uh-huh.###speakerb66.###and he came with, with his own raf-,###what do you call those things *t*-1?###speakera67.###the blowers?###speakerb68.###no,###those where you built like a rafter thing *t*-1.###speakera69.	what	no	what you are talking about *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
52697:11	i forget what you call it *t*-1,	###my husband's going singapore.###and they don't have a lot of the crime because there is a law###and the law is enforced *-1.###and that's what, wh-, when you have lawlessness *t*-1,###i mean the law's not being enforced *-1###and all 0 that does *t*-1 is lawlessness.### we were, we went on a mission trip to manhattan and to the bronx and stuff, two years ago,###and all these kids were up on there *-1 getting arrested *-2 for crack###and everyone was out,###uh, we were across from that big bus station,	what	no	what you call it *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
