TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Question	AResponse	AllResponse	TheResponse	punct
63769:100	companies that *t*-1 do at least go into it, i'd like *-1 to see subsidy by the government or something, or tax-wise or something, heavily enough to where they could get their prices lower than regular *t*-2.	### i s-, i seen a lot of adds *ich*-1 recently for organic fertilizers and, and lawn additives and that type of thing,###but the cost is, is like, double or sometimes triple, what the regular things 0 you, fertilizers and things 0 you buy *t*-1.###speakerb62.###uh-huh.###speakera63.###so, in, in terms of that, it's,###you know, and, for the environment it's, it's, there's a good reason 0 * to do it *t*-1,###but the cost is kind of prohibitive.###speakerb64.###now, see that's recycling, you know,	where	yes	where they could get their prices lower than regular *t*-2	...what is a place...	...what is every place...	...what is the place...	
137947:20	and it *exp*-1 was amazing how a few inches of snow would turn normally sane, manly, adult men into playful little children *t*-2.	###we got a pretty fair amount of snow.###speakerb58.###oh,###well, you had some there.###speakera59.###speakerb60.###yeah.###speakera61.###but, uh, i got down here in june of eighty-four,###and the first winter down here was probably the worst winter 0 they'd seen *t*-1 in twenty years,	how	yes	how a few inches of snow would turn normally sane, manly, adult men into playful little children *t*-2	...what is a way...	...what is every way...	...what is the way...	
99188:15	does your daughter know what she'd like *-1 to do *t*-2?	### what, what does,###he hopes *-1 to be a writer.###speakera66.###yes,###he thinks 0 that's what he'd like *-1 to do *t*-2,###but he's really strong in math and science, too,###and we keep *-1 encouraging him to keep an open mind.###speakerb67.###huh.###speakera68.	what	yes	what she'd like *-1 to do *t*-2	...what is a thing...	...what is every thing...	...what is the thing...	
24098:98	um, if, you know, if they want *-1 to get a liberal arts degree, i don't, i don't know what advice i'd give them *t*-2.	###depending upon the field, i know 0 there are some fields which a person should go to the school, that school, all four years *t*-1,###but i know 0 there are some fields where it's really not necessary *t*-1.###speakerb6.###yeah,###a lot fields are,###most of your liberal arts degrees and stuff aren't really concerned with your first two years anyway.### it's, it's your core education, your general requi-, general education requirements.###speakera7.###uh-huh.###speakerb8.	what	yes	what advice i'd give them *t*-2	...what is a thing...	...what is every thing...	...what is the thing...	
39190:57	because, you kind of, even, even a cat, you never know when they might bite or scratch or something *t*-1.	###speakera125.###yeah,###now that's an idea###speakerb126.###speakera127.###with the small babies.###speakerb128.###that she can watch *t*-1, but *t*-1 won't take too much care.###speakera129.###yeah,	when	yes	when they might bite or scratch or something *t*-1	...what is a time...	...what is every time...	...what is the time...	
166302:96	but, uh, i don't, i don't understand the, uh, i don't understand, i guess 0 *t*-1, why the schools don-, seem *-2 to have such a high dropout rate in the big cities *t*-3.	###huh.###speakera13.###i mean, i, i've seen so many different things. so, so many different bad reports coming out of the school system###and i recognize that there are good schools out there.###i mean, somebody's getting, getting a good education because we, continue *-1 to employ people.###speakerb14.###right.###speakera15.###speakerb16.###speakera17.	why	no	why the schools don-, seem *-2 to have such a high dropout rate in the big cities *t*-3	...what is a reason...	...what is every reason...	...what is the reason...	
164873:50	uh, i'm not too satisfied with our local newspaper uh, which *t*-1 is why i rely on shortwave and, and then the cable, cable, c n n *t*-2.	###but the f m signal doesn't reach this far.###speakerb5.###uh-huh.###speakera6.###uh, i'll listen to shortwave quite a bit.###it gives you a whole different perspective on the news, uh, when you hear it from, say, a european point of view, or from the country of origin *t*-1.###speakerb7.###uh-huh.###speakera8.###uh, i agree with you, too, on the, uh, uh, the cable channel, c n n and headline news.	why	no	why i rely on shortwave and, and then the cable, cable, c n n *t*-2	...what is a reason...	...what is every reason...	...what is the reason...	
53518:31	it *exp*-1'll be interesting * to see what *t*-2 happens.	###but, you know, it's not the idea of your paying, uh, income tax.###speakera51.###uh-huh.###true.###speakerb52.###so,###speakera53.### i, i'm not sure 0 there's a positive solution for that.###speakerb54.###no.	what	no	what *t*-2 happens	...what is a thing...	...what is every thing...	...what is the thing...	
171239:24	you know, i'm wondering what this is going *-1 to do *t*-2 in ten and twenty years.	###of course a part of it is technology.###i mean our kids, where would they be *t*-1 without nintendo and, you know, their t v shows###and no-,###some of that is really bad i think 0 *t*-1.###but, we have all single families.###so many single families now.###uh, a lot of working,###both parents are working.###so there's a whole big effect on our kids###and not very many of my daughter's friends really are on their original mother and father.	what	no	what this is going *-1 to do *t*-2 in ten and twenty years	...what is a thing...	...what is every thing...	...what is the thing...	
32893:21	* just let me see what i got *t*-1,	###speakera333.###they have some little buds on them###hopefully they'll do something.###speakerb334.###yeah.###* sounds like you have a real good garden.###speakera335.###yeah.###we enjoy *-1 fooling around with it.###speakerb336.	what	no	what i got *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
79109:78	but i, i'd be glad *-2 to organize it, if that they'd tell me what it is *t*-1 0 i'm doing *t*-3 because that would, that would be really helpful.	###exactly.###speakera69.###speakerb70.###uh-huh.###speakera71.###uh, now maybe they just sort it after they get it and throw out what they can't use *t*-1,###i don't know###speakerb72.###uh-huh.###speakera73.	what	no	what it is *t*-1 0 i'm doing *t*-3	...what is a thing...	...what is every thing...	...what is the thing...	
155694:15	who *t*-1 know what they're doing *t*-2 with that.	###and you need a special nursing home for that.###you need one that *t*-1 has a unit that *t*-2's locked *-3 where they are not able *-4 to get out and roam around *t*-5###speakera54.###yeah.###speakerb55.###and you need people who *t*-1 are trained *-2 for that type of problem.###speakera56.###right.###speakerb57.###speakera58.	what	no	what they're doing *t*-2 with that	...what is a thing...	...what is every thing...	...what is the thing...	
118023:36	it got to the point where i didn't know what *t*-1 was going on *t*-2	### y-, yeah,###actually, i, i think 0 it was a lot of money,###but i, i don't,###like i s-,###speakera55.###well, it was a lot of money,###but,###speakerb56.###yeah,###but, i,	what	no	what *t*-1 was going on	...what is a thing...	...what is every thing...	...what is the thing...	
89905:35	you just kind of have *-1 to read and understand what *t*-2 is going on.	###speakera17.###that is an intriguing type of book 0 * to be reading *t*-1 and trying *-2 to keep up on things like that.###speakerb18.###yeah,### it's a, it's a little, it's a little hard mumblex###you have *-1 to plod through it###and, you know, it does not have a real story, or any plot,###speakera19.###uh-huh.###speakerb20.	what	no	what *t*-2 is going on	...what is a thing...	...what is every thing...	...what is the thing...	
70902:11	i see what you're saying *t*-1.	###speakerb48.###that's right,### and, and i have, i have no problem, with, uh, a certain, uh, floor level, minimum level, that *t*-3's a standard uh, that everybody, uh, ought *-1 to be able *-1 to have *t*-2,###uh,###speakera49.###yeah.###speakerb50.###but, i am opposed to, w-, any attempts * to restrict, um, local communities from *-2 taxing themselves above that *-1 to provide above the minimum.###speakera51.###yes,	what	no	what you're saying *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
