TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Question	AResponse	AllResponse	TheResponse	punct
155083:17	i am thinking about where you can ski over the state line *t*-1.	###well is it *ich*-2 tahoe? where you ski from *t*-1,###no###that's nevada to california i guess 0 *t*-1.###speakera79.###that's in nevada.###speakerb80.###speakera81.###uh-huh.###speakerb82.###yeah,	where	yes	where you can ski over the state line *t*-1	...what is a place...	...what is every place...	...what is the place...	
51975:21	i was going, god, how can you be so protective *t*-1? you, know	###speakera243.###speakerb244.###yes.###you do.###speakera245.###if,###speakerb246.### i don't, i don't think 0 there's anything wrong with that.###speakera247.###so, i at first thought, you know, when i didn't have kids *t*-1,	how	yes	god, how can you be so protective *t*-1?	...what is a way...	...what is every way...	...what is the way...	
83225:16	i do not know what we would replace it with *t*-1.	###yeah.###whatever.###speakera61.###so it seems, uh,###no,### i, i, i do not think 0 i would change it.###the more 0 i verbalize it *t*-2, i, i do not think 0 i would want *-1 to change the system.###speakerb62.###right,###speakera63.	what	yes	what we would replace it with *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
144239:48	and, uh, i think 0 that will be real interesting * to see what they can do *t*-1.	###speakera27.###and they traded either richmond or hardaway to sacramento for billy owens###and, uh,###speakerb28.###good move.###speakera29.###yeah,###oh, yeah,###he's really worked out well.### they've got th-, the warriors have got a team, uh,	what	yes	what they can do *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
6640:18	but i don't know how they'd enforce it *t*-1,	###yeah,###that's true.###speakera51.### and, uh, but if, you know,###speakerb52.###people that *t*-1 might benefit most from it *ich*-4 might not go in that situation, you know, like people that *t*-2 really are trapped *-3 in a ghetto or something like that.###speakera53.###yeah.###speakerb54.###* might not go if it was voluntary,	how	yes	how they'd enforce it *t*-1	...what is a way...	...what is every way...	...what is the way...	
117835:18	and i don't know why, --body's calling *t*-1.	###and i don't want *-1 to answer.###speakera121.###oh, okay.###speakerb122.###i'll just wait.###speakera123.###okay.###speakerb124.###no,### i've, i've got incoming calls	why	no	why, --body's calling *t*-1	...what is a reason...	...what is every reason...	...what is the reason...	
119619:23	i don't understand, too, why we have *-1 to have democrats and republicans *t*-2, and it's either one way or the other,	###that's another thing 0 i don't understand *t*-1 is, is, is things like * selling technology and, uh, even military hardware to foreign governments and then forgiving their debt###speakera23.###speakerb24.###to me that just doesn't make any sense, as, as much in debt as we are *?*###speakera25.###i know it.###speakerb26.### i just, i don't know.###i think 0 it's definitely time for a change,###but i don't see anybody,	why	no	why we have *-1 to have democrats and republicans *t*-2, and it's either one way or the other	...what is a reason...	...what is every reason...	...what is the reason...	
8874:58	you know i don't have *-1 to worry about *-2 getting stuff on the carpet except when i track in saw dust *t*-3,	###speakera3.###there's something about * working with wood that, that i enjoy *t*-1, that,###i don't know if it's the saw dust or the mess 0 you make *t*-1 or the smell of the wood###but,###speakerb4.###as you know, i think 0 it's more like the mess 0 you make *t*-1, isn't it *?*?###you don't have *-1 to worry about *-2 cleaning it up.###speakera5.###yeah,###because it's, it's out there.	when	no	when i track in saw dust *t*-3	...what is a time...	...what is every time...	...what is the time...	
147579:87	i think 0 it *exp*-1's, uh, really neat * to see *ich*-4 and all that educated minority, uh, person who *t*-2 really knows what they're talking about *t*-3.	###speakerb42.###oh, me too.###speakera43.###they're moving them up###and they're sharp###and they,###so you're going *-1 to see a lot, a lot more of that in leadership i believe 0 *t*-2.###speakerb44.###yeah.###i like *-1 to see that.	what	no	what they're talking about *t*-3	...what is a thing...	...what is every thing...	...what is the thing...	
155541:51	and he paled and said, uh, i'm not going *-2 to tell you what you said *t*-1.	###in france.###speakerb54.###yeah,###because they're real snobby about their language###and mumblex french is street french###and i just picked it up off the street###and i knew what i was, i knew what i was communicating *t*-1,###but i didn't know what i was saying *t*-1.###i never sat there and got a direct translation###and * said something here when i came home and french to somebody *t*-1	what	no	what you said *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
