TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Question	AResponse	AllResponse	TheResponse	punct
36664:16	i don't know how you can really keep, uh, the inside of a tent clean *t*-1.	###and that's just about as bad as a kid.###speakera25.###yeah,###boy, he doesn't go in and out of the tent a hundred times. and use it as a play, uh,###speakerb26.###uh-huh.###speakera27.###they like *-1 to play in them.###speakerb28.###yeah,	how	yes	how you can really keep, uh, the inside of a tent clean *t*-1	...what is a way...	...what is every way...	...what is the way...	
129841:25	and, uh, i don't know what they could do more of *t*-1 exactly around here right now other than, uh,	###speakerb64.###speakera65.###that's right.###speakerb66.###speakera67.###yeah.###speakerb68.###speakera69.###yeah.###speakerb70.	what	yes	what they could do more of *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
170360:16	i don't see how one or two people, maybe more one or two, but, you know, a number of people can, can be the downfall of com-, a company situation *t*-1.	###because you as an employee,###even the company is making money,###they paying you a salary###but you are responsible for that company growth.###you're responsible *ich*-1 also for *-3 helping that company get to the par-, point that it's at *t*-2 at *-4 making profits.###so there should be something *ich*-2 in there or some kind of clause that *t*-1 will subsidize people if they did lose their job other than, you know, uh, neglect or something like that.###speakera35.###uh-huh.###speakerb36.###you know. because it *exp*-1's not a person's fault that, you know, people not buying or businesses are, are not on the up and up all the time, you know.	how	yes	how one or two people, maybe more one or two, but, you know, a number of people can, can be the downfall of com-, a company situation *t*-1	...what is a way...	...what is every way...	...what is the way...	
144356:17	i don't know who *ich*-2 *t*-1 would meet them in the west.	###there's not the leadership there that they used *-1 to rely on him for *t*-2.###speakera71.###well, i think 0 you're right###and i think 0 isaiah thomas would fit in detroit###and i think 0 those things do make a difference###and there are marquee players.###and i think i think 0 jordan and the, and the bulls have *-1 to be, uh, considered *-2 the likely favorites.###speakerb72.###oh, yeah.###speakera73.	who	yes	who *ich*-2 *t*-1 would meet them in the west	...who is a person...	...who is every person...	...who is the person...	
144833:23	i don't know, uh, how a few bucks can be worth * shooting somebody *t*-1	###uh, it *exp*-1 was really frightening * to, think that, uh, it *exp*-2's not even safe * to drive onto the tollway, or for those people in the tollbooth.###speakera55.###speakerb56.###speakera57.###speakerb58.###speakera59.###speakerb60.###uh, i never thought about someone robbing those,###but, apparently, they do.###speakera61.	how	yes	how a few bucks can be worth * shooting somebody *t*-1	...what is a way...	...what is every way...	...what is the way...	
5323:36	i guess, uh, 0 i don't even know why i watched c n n *t*-1.	###well, why was c n n the only,###of course i think, 0 saddam hussein only allowed c n n to broadcast it,###is that not true?###speakerb8.###um.###speakera9.###it *exp*-1 was unusual * not to have the different sources, you know, of news coverage.###speakerb10.###yeah.###um, i don't know.	why	no	why i watched c n n *t*-1	...what is a reason...	...what is every reason...	...what is the reason...	
101164:50	well and i would think, you know, 0 since big business is supposedly why the government makes the decisions 0 they do *t*-1 *t*-2 you know, the, the people that *t*-3 work in big business have families	###right.###right.###speakera134.###but i, i do think 0 it's an area that *t*-1 needs *-2 to be looked at *-3 and improved *-3 because more of us are going *-4 to have *-5 to work.###speakerb135.###uh-huh.###uh-huh.###speakera136.###two income families i think 0 *t*-1 are here *-2 to stay.###speakerb137.	why	no	why the government makes the decisions 0 they do *t*-1 *t*-2	...what is a reason...	...what is every reason...	...what is the reason...	
140758:19	* kind of depends on when they get in *t*-1, you know.	###speakera91.### which, it does look nicer,###and, you know, we would have like *-1 to have had all brick,###but, of course at that point we couldn't afford it,### and, but, it *exp*-3's funny that you'd say that, because there were homes *ich*-1 in here that *t*-2 didn't have any brick at all.###speakerb92.###right.###speakera93.###so it's kind of like, they were.###speakerb94.	when	no	when they get in *t*-1	...what is a time...	...what is every time...	...what is the time...	
44092:11	we know what a job it's going *-1 to be *t*-2	###but, um, it had not, either that or it had not been prepared *-1 underneath###and it was greasy or something,###speakera57.###sure.###speakerb58.###it comes off in strips, i mean not even little bit.###so we still have some of that trim work 0 * to do *t*-1 because we put it off all this time,###speakera59.###oh, no.###speakerb60.	what	no	what a job it's going *-1 to be *t*-2	...what is a thing...	...what is every thing...	...what is the thing...	
92015:77	and i think 0 they really it really pen-, penetrates in your memory, you know, what * to do *t*-1, because you really have a great interest in it. because it's something 0 you weren't forced *-2 to do *t*-3,	###speakerb51.###uh-huh.###speakera52.###it was like,###speakerb53.###well, you learn a lot of, um, skills too,###and i think 0 you're more receptive *ich*-5 *ich*-4 when you're younger *t*-1 than when you're older *t*-3, *-2 to learn new skills,###speakera54.###that's true.###speakerb55.	what	no	what * to do *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
