TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Question	AResponse	AllResponse	TheResponse	punct
7754:20	well, isn't it funny how baseball's getting less than like football players would *?* *t*-1.	###yeah.###speakerb6.###i haven't even heard that,###that's great.###i think 0 he deserves every penny of it.###speakera7.###yeah.###speakerb8.###but, there are some others out there that i don't believe 0 *t*-1 deserve the money 0 they're getting *t*-2.###speakera9.	how	yes	how baseball's getting less than like football players would *?* *t*-1	...what is a way...	...what is every way...	...what is the way...	
116448:75	well, i just, i just don't understand how, of course, in my little world, how guns could be so available *t*-1.	###speakera23.###that's true.###speakerb24.###and, uh, i really, you know,###they're coming down on the principal,###but i really don't know what they can do *t*-1.###i mean, it's just in so much of society with the violence and the kids having access to weapons and drugs###and i, i really don't know what, what *t*-1 can be done *-2.###speakera25.###yeah,	how	yes	how guns could be so available *t*-1	...what is a way...	...what is every way...	...what is the way...	
126316:40	i don't, i don't even know how we'd pay for it *t*-1 anyway.	###yeah.###yeah,### i, i think 0 it *exp*-1 would be good for, uh, everyone to do something like that###but i, i guess 0 i don't feel like it should be something forced * upon you.###speakera43.###yeah,###well it, it probably won't *?*.###speakerb44.###uh-huh.###speakera45.	how	yes	how we'd pay for it *t*-1	...what is a way...	...what is every way...	...what is the way...	
87606:87	so i'm no-, i'm, uh, think that the, we really ought *-1 to seriously consider what an income tax might do *t*-2 that, uh, for texas	###uh, yeah,### i, i think so.### i, i'm, uh, i think 0 i'm, i think 0 i'm, uh, a little out of the ordinary in that, that i, i, uh, i think 0 i'm more worried about the deficit, the national deficit than, than, uh, a lot of other people are *?* and think that we need *-1 to, we need *-2 to either raise our taxes or, or cutback on something###and i don't know what * to cutback on *t*-1 * to, to get, to get that, to get that settled *-2.###speakera3.###at this stage it *ich*-1's hard, * to tell.###speakerb4.### and, and, uh, and, uh, i know 0 i'm a real, a real, uh, out of it in terms of taxes###speakera5.###speakerb6.	what	yes	what an income tax might do *t*-2 that, uh, for texas	...what is a thing...	...what is every thing...	...what is the thing...	
172496:73	uh, i just finished *-1 fuming at the fact that we pay an eight and a half percent sales tax and no income tax when the income tax could have been deducted *-2 from the federal form *t*-3	###speakera16.###uh, i love the irony of, uh, * talking about this subject on april the, fifteenth.###speakerb17.###speakera18.###but, uh, i'm afraid 0 i'm, i'm probably in the minority.### i, i actually don't think that we, uh, pay too much in this country. uh uh, particularly, uh, in this part of the country w-,###speakerb19.###i agree with you.###speakera20.###uh, i guess 0 i do have a, a bone 0 * to pick *t*-1 with, uh, uh, the way 0 taxes are distributed *-3 *t*-2.	when	yes	when the income tax could have been deducted *-2 from the federal form *t*-3	...what is a time...	...what is every time...	...what is the time...	
141481:30	well, i think 0 that is probably why our is probably so interesting *t*-1 is cause we don't have them that often	###every year.###speakerb81.###mumblex.###speakera82.###and, uh, still, you wind up *-1 meeting people 0 you, uh, you never knew 0 you were related to *t*-2. let alone###speakerb83.###yeah.###speakera84.###and,###speakerb85.	why	no	why our is probably so interesting *t*-1	...what is a reason...	...what is every reason...	...what is the reason...	
27669:28	it explains why they, why they have everything white *t*-1	###and she did that all the way around the room which *t*-1 makes it look very attractive,###speakerb98.###yeah.###speakera99.###but it makes the room look smaller which *t*-1 is, uh uh, which *t*-2 is,###speakerb100.###yeah.###speakera101.###speakerb102.###speakera103.	why	no	why they, why they have everything white *t*-1	...what is a reason...	...what is every reason...	...what is the reason...	
38536:16	i don't know what the chains are *t*-1 down there.	###speakera25.###well, um probably the best one that i, i know of *t*-1 and i work with *t*-1 all the time is called *-2 search for significance by robert mcgee###speakerb26.###um, that sounds good.###speakera27.###speakerb28.###uh-huh.###speakera29.###and it's one that we use *t*-1 in our work.###it's probably one 0 you'd find *t*-1 in like a christian book store.	what	no	what the chains are *t*-1 down there	...what is a thing...	...what is every thing...	...what is the thing...	
175577:86	he needs *-1 to do his own course of investigation and, and see what he can do *t*-5 because who *t*-2 knows what *t*-3's going *-4 to happen in another thirty years.	###speakera29.### and, uh, and, you know, i can get up,###speakerb30.###i know.### it, it seems *-1 to be, be kind of, kind of scary, you know. because you think of,###uh, see my son's eighteen right now###and he, he's, uh, he wants *-1 to go into engineering.###and the, the, the branches of engineering that he wants *-1 to go into *t*-2 is now kind of open###and he's interested in, basically, three different areas.###but, uh, it *ich*-2's difficult for me to try *-1 to give him any kind of advice or to advise him or anything like that.	what	no	what *t*-3's going *-4 to happen in another thirty years	...what is a thing...	...what is every thing...	...what is the thing...	
8701:13	and we know what bills *t*-1 have *-2 to be paid *-3,	###and, uh, * do that on a, on a full time basis here in town.###speakera75.### and so, and you have a monthly budget?###speakerb76.###well, s-, sort of.###we're probably like most am-, american families,###i guess, that we sort of have a budget in that we know how much we've got *t*-1 at the end of the month,###speakera77.###right.###speakerb78.	what	no	what bills *t*-1 have *-2 to be paid *-3	...what is a thing...	...what is every thing...	...what is the thing...	
14160:25	did that help you understand a lot what *t*-1 was going on	###indeed, i found myself restricting my viewing to a couple of hours a day, one in the morning and one in the evening.###speakera43.###uh-huh.###speakerb44.###uh, i-, i spent a number of years in the service as an intelligence analyst,###speakera45.###really?###speakerb46.###and i don't need their fill-ins, you know.###speakera47.	what	no	what *t*-1 was going on	...what is a thing...	...what is every thing...	...what is the thing...	
47267:76	i mean, you got *-1 to, you sort of have *-2 to choose your season carefully and know what *t*-3's going *-4 to happen.	###speakera47.###huh.###speakerb48.###it's very pleasant.###speakera49.###are the temperatures real extreme there###or the, the,###speakerb50.###they can be *?*,###yeah.	what	no	what *t*-3's going *-4 to happen	...what is a thing...	...what is every thing...	...what is the thing...	
122886:40	you know, somewhere they can sit down and write down what, you know, things that you've improved upon *t*-1,	###speakerb76.###uh-huh.###speakera77.###and they are doing it un-, you know, unconsciously.###speakerb78.###yeah,###i guess, uh, 0 you don't really think about it too much.###i guess 0 you are always finding newer ways and better ways of * doing stuff###but yo-,### it, it's in a subconscious, you know, thing.	what	no	what, you know, things that you've improved upon *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	
27795:11	i know what i like *-1 to listen to *t*-2 as far as classical music.	###uh, over time i became very interested in, in baroque classical###and i think 0 that was just through * experiencing contacting college and the fact that i found it, it very relaxing for me.###my tastes now run i guess 0 *t*-1 to a upbeat, uh, simon,###speakera9.###yeah.###speakerb10.###it's something that *t*-1 interests me, uh, combined with, with the classical tastes 0 i had mentioned *t*-2.###and my classical music tends *-1 to be confined *-2 to the seventeen hundreds, early eighteen hundred music.###i'm not a music, um, mumblex,###i'm not particularly schooled in it.	what	no	what i like *-1 to listen to *t*-2 as far as classical music	...what is a thing...	...what is every thing...	...what is the thing...	
